Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC Genotype x Time_(joint),HMDB0011568,MG 18:2,,,,0.847894272445309,Interaction,,
HC Genotype x Time_120,HMDB0011506,LPE 18:1/0:0,0.0628879548542775,0.0840073116682063,0.45992703112461,,Interaction,-0.101766376015407,0.227542285723962
HC Genotype x Time_235,HMDB0011506,LPE 18:1/0:0,0.104370674719947,0.0840073116682063,0.223713376780142,,Interaction,-0.0602836561497378,0.269025005589631
HC Genotype x Time_(joint),HMDB0011506,LPE 18:1/0:0,,,,0.466327339700049,Interaction,,
HC Genotype x Time_120,HMDB0000122,Hexose,-0.0158210647713043,0.0461539216963006,0.734147415565317,,Interaction,-0.106282751296053,0.0746406217534448
HC Genotype x Time_235,HMDB0000122,Hexose,0.03252154339269,0.0461539216963006,0.486473759910886,,Interaction,-0.0579401431320592,0.122983229917439
HC Genotype x Time_(joint),HMDB0000122,Hexose,,,,0.571328510914007,Interaction,,
HC Genotype x Time_120,HMDB0012108,LPC 17:0/0:0,0.00993078182378172,0.0187989844508454,0.601204081989523,,Interaction,-0.0269152276998754,0.0467767913474388
HC Genotype x Time_235,HMDB0012108,LPC 17:0/0:0,0.0219908575005204,0.0187989844508454,0.251295642612627,,Interaction,-0.0148551520231366,0.0588368670241775
HC Genotype x Time_(joint),HMDB0012108,LPC 17:0/0:0,,,,0.511144438769229,Interaction,,
HC Genotype x Time_120,HMDB0010401,LPC 22:4/0:0,0.142950692652189,0.0923935586570282,0.132302127558926,,Interaction,-0.0381406823155866,0.324042067619964
HC Genotype x Time_235,HMDB0010401,LPC 22:4/0:0,0.162850345322533,0.0923935586570282,0.0881593055391036,,Interaction,-0.0182410296452424,0.343941720290308
HC Genotype x Time_(joint),HMDB0010401,LPC 22:4/0:0,,,,0.174894178951832,Interaction,,
HC Genotype x Time_120,HMDB0010407,LPC P-16:0/0:0,0.0253302924539589,0.0511497507098081,0.624053974957875,,Interaction,-0.0749232189372651,0.125583803845183
HC Genotype x Time_235,HMDB0010407,LPC P-16:0/0:0,0.0823822423313827,0.0511497507098081,0.117738277727114,,Interaction,-0.0178712690598412,0.182635753722607
HC Genotype x Time_(joint),HMDB0010407,LPC P-16:0/0:0,,,,0.271749254361141,Interaction,,
HC Genotype x Time_120,HMDB0243890,LPC O-16:0/0:0,0.0344571323606456,0.0468056271133623,0.467341930930704,,Interaction,-0.0572818967815444,0.126196161502836
HC Genotype x Time_235,HMDB0243890,LPC O-16:0/0:0,0.118719913925701,0.0468056271133623,0.0166392411459009,,Interaction,0.0269808847835107,0.210458943067891
HC Genotype x Time_(joint),HMDB0243890,LPC O-16:0/0:0,,,,0.0464682953560117,Interaction,,
HC Genotype x Time_120,HMDB0010392,LPC 20:2/0:0,0.0529833967497215,0.0847414487990402,0.536543642504788,,Interaction,-0.113109842896397,0.21907663639584
HC Genotype x Time_235,HMDB0010392,LPC 20:2/0:0,0.136112909127789,0.0847414487990402,0.118703114024183,,Interaction,-0.0299803305183296,0.302206148773908
HC Genotype x Time_(joint),HMDB0010392,LPC 20:2/0:0,,,,0.284536853316054,Interaction,,
HC Genotype x Time_120,HMDB0011564,MG 16:0,-0.0560547913126182,0.028476579758403,0.0583169049229897,,Interaction,-0.111868887639088,-0.000240694986148329
HC Genotype x Time_235,HMDB0011564,MG 16:0,-0.0540513788139844,0.028476579758403,0.067341777620125,,Interaction,-0.109865475140454,0.00176271751248545
HC Genotype x Time_(joint),HMDB0011564,MG 16:0,,,,0.0995326496674215,Interaction,,
HC Genotype x Time_120,HMDB0000063,Cortisol,-0.00262429959749754,0.0257295615305016,0.919438939097048,,Interaction,-0.0530542401972806,0.0478056410022855
HC Genotype x Time_235,HMDB0000063,Cortisol,0.00844245283980207,0.0257295615305016,0.745098099915757,,Interaction,-0.041987487759981,0.0588723934395852
HC Genotype x Time_(joint),HMDB0000063,Cortisol,,,,0.904218350009704,Interaction,,
HC Genotype x Time_120,HMDB0002802,Cortisone,-0.0343115373255831,0.10096540543095,0.736348967380292,,Interaction,-0.232203731970245,0.163580657319079
HC Genotype x Time_235,HMDB0002802,Cortisone,-0.167281128520683,0.10096540543095,0.107980162642714,,Interaction,-0.365173323165345,0.0306110661239796
HC Genotype x Time_(joint),HMDB0002802,Cortisone,,,,0.232607340806217,Interaction,,
HC Genotype x Time_120,HMDB0013648,Palmitoleoyl-EA,0.100232971822843,0.0677180605785032,0.149259059588651,,Interaction,-0.0324944269110236,0.232960370556709
HC Genotype x Time_235,HMDB0013648,Palmitoleoyl-EA,0.0349977848963877,0.0677180605785032,0.609073887174958,,Interaction,-0.0977296138374786,0.167725183630254
HC Genotype x Time_(joint),HMDB0013648,Palmitoleoyl-EA,,,,0.336819413527591,Interaction,,
HC Genotype x Time_120,HMDB0011128,LPC 0:0/18:0,-0.000197064841740129,0.0404608414293246,0.996146156499363,,Interaction,-0.0795003140432163,0.079106184359736
HC Genotype x Time_235,HMDB0011128,LPC 0:0/18:0,0.0649127375804289,0.0404608414293246,0.119117670080885,,Interaction,-0.0143905116210473,0.144215986781905
HC Genotype x Time_(joint),HMDB0011128,LPC 0:0/18:0,,,,0.19605412448006,Interaction,,
HC Genotype x Time_120,HMDB0011129,LPE 0:0/18:0,0.296905581230503,0.179925934290667,0.109344142689419,,Interaction,-0.0557492499792046,0.64956041244021
HC Genotype x Time_235,HMDB0011129,LPE 0:0/18:0,0.211408165468219,0.179925934290667,0.249247316027388,,Interaction,-0.141246665741489,0.564062996677926
HC Genotype x Time_(joint),HMDB0011129,LPE 0:0/18:0,,,,0.252118256255693,Interaction,,
HC Genotype x Time_120,HMDB0010408,LPC P-18:1/0:0,0.00568586316467895,0.0546916066053128,0.917891215319968,,Interaction,-0.101509685781734,0.112881412111092
HC Genotype x Time_235,HMDB0010408,LPC P-18:1/0:0,-0.0015669671148012,0.0546916066053128,0.977332719579529,,Interaction,-0.108762516061214,0.105628581831612
HC Genotype x Time_(joint),HMDB0010408,LPC P-18:1/0:0,,,,0.99031196195636,Interaction,,
HC Genotype x Time_120,HMDB0000254,Succinic acid,0.0432336649560888,0.156764253361525,0.784601945243398,,Interaction,-0.2640242716325,0.350491601544677
HC Genotype x Time_235,HMDB0000254,Succinic acid,0.0715774176492206,0.156764253361525,0.651252564663639,,Interaction,-0.235680518939368,0.378835354237809
HC Genotype x Time_(joint),HMDB0000254,Succinic acid,,,,0.89999046443693,Interaction,,
HC Genotype x Time_120,HMDB0010384,LPC 18:0/0:0,0.0306796043092319,0.034517680995868,0.381177623233992,,Interaction,-0.0369750504426694,0.0983342590611332
HC Genotype x Time_235,HMDB0010384,LPC 18:0/0:0,0.0639557101471844,0.034517680995868,0.0737659261226077,,Interaction,-0.00369894460471688,0.131610364899086
HC Genotype x Time_(joint),HMDB0010384,LPC 18:0/0:0,,,,0.196706444420025,Interaction,,
HC Genotype x Time_120,HMDB0011130,LPE 18:0/0:0,0.0416079185316644,0.0532119484696981,0.440384916671255,,Interaction,-0.0626875004689439,0.145903337532273
HC Genotype x Time_235,HMDB0011130,LPE 18:0/0:0,0.121376640135989,0.0532119484696981,0.0298176729224892,,Interaction,0.0170812211353803,0.225672059136597
HC Genotype x Time_(joint),HMDB0011130,LPE 18:0/0:0,,,,0.084426869387545,Interaction,,
HC Genotype x Time_120,HMDB0011567,MG 18:1,-0.0548409826249081,0.0652746465148839,0.407466281461614,,Interaction,-0.182779289794081,0.0730973245442644
HC Genotype x Time_235,HMDB0011567,MG 18:1,-0.0366865013685091,0.0652746465148839,0.578269044610315,,Interaction,-0.164624808537682,0.0912518058006634
HC Genotype x Time_(joint),HMDB0011567,MG 18:1,,,,0.696307647369663,Interaction,,
HC Genotype x Time_120,HMDB0072856,MG 17:0,-0.0721307340122085,0.0555691526589328,0.204166532214242,,Interaction,-0.181046273223717,0.0367848051992998
HC Genotype x Time_235,HMDB0072856,MG 17:0,-0.0779765777126446,0.0555691526589328,0.170812850282685,,Interaction,-0.186892116924153,0.0309389614988637
HC Genotype x Time_(joint),HMDB0072856,MG 17:0,,,,0.308981570182435,Interaction,,
HC Genotype x Time_120,HMDB0010391,LPC 20:1/0:0,0.0665235383092459,0.0458739770965239,0.157395764514964,,Interaction,-0.0233894567999409,0.156436533418433
HC Genotype x Time_235,HMDB0010391,LPC 20:1/0:0,0.0744568578002519,0.0458739770965239,0.115036799458854,,Interaction,-0.0154561373089349,0.164369852909439
HC Genotype x Time_(joint),HMDB0010391,LPC 20:1/0:0,,,,0.220822412801615,Interaction,,
HC Genotype x Time_120,HMDB0000045,AMP,-0.175180041934354,0.134030392745684,0.201137016051684,,Interaction,-0.437879611715895,0.0875195278471863
HC Genotype x Time_235,HMDB0000045,AMP,-0.0827020617869729,0.134030392745684,0.541863742096384,,Interaction,-0.345401631568514,0.179997507994568
HC Genotype x Time_(joint),HMDB0000045,AMP,,,,0.435372821966435,Interaction,,
HC Genotype x Time_120,HMDB0011149,LPC O-18:0/0:0,0.0496645629506089,0.0561653447983194,0.383589993332545,,Interaction,-0.060419512854097,0.159748638755315
HC Genotype x Time_235,HMDB0011149,LPC O-18:0/0:0,0.108681900939329,0.0561653447983194,0.0624632369903769,,Interaction,-0.00140217486537714,0.218765976744035
HC Genotype x Time_(joint),HMDB0011149,LPC O-18:0/0:0,,,,0.170614805696359,Interaction,,
HC Genotype x Time_120,HMDB0011131,MG 18:0,-0.0864680861908318,0.0546113430558339,0.12383155921995,,Interaction,-0.193506318580266,0.0205701461986026
HC Genotype x Time_235,HMDB0011131,MG 18:0,-0.0750779856843342,0.0546113430558339,0.17938517474326,,Interaction,-0.182116218073769,0.0319602467051002
HC Genotype x Time_(joint),HMDB0011131,MG 18:0,,,,0.243754455237369,Interaction,,
HC Genotype x Time_120,HMDB0000072,cis-Aconitic acid,0.163409079998202,0.0709632357296238,0.0284076630910766,,Interaction,0.0243211379681398,0.302497022028265
HC Genotype x Time_235,HMDB0000072,cis-Aconitic acid,0.12240990791858,0.0709632357296238,0.0948215299174702,,Interaction,-0.0166780341114821,0.261497849948643
HC Genotype x Time_(joint),HMDB0000072,cis-Aconitic acid,,,,0.0723218658126677,Interaction,,
HC Genotype x Time_120,HMDB0013250,N-Myristoylglycine,-0.148517974969177,0.514405567431679,0.774783081464264,,Interaction,-1.15675288713527,0.859716937196913
HC Genotype x Time_235,HMDB0013250,N-Myristoylglycine,-0.228889812034172,0.514405567431679,0.659542790453768,,Interaction,-1.23712472420026,0.779345100131919
HC Genotype x Time_(joint),HMDB0013250,N-Myristoylglycine,,,,0.903413519571462,Interaction,,
HC Genotype x Time_120,HMDB0010390,LPC 20:0/0:0,0.00629788431728908,0.0389343802251098,0.872582220536964,,Interaction,-0.0700135009239261,0.0826092695585043
HC Genotype x Time_235,HMDB0010390,LPC 20:0/0:0,0.0518777622475188,0.0389343802251098,0.19274853273883,,Interaction,-0.0244336229936964,0.128189147488734
HC Genotype x Time_(joint),HMDB0010390,LPC 20:0/0:0,,,,0.359963586749003,Interaction,,
HC Genotype x Time_120,HMDB0010399,LPC 22:1/0:0,0.0666472237241846,0.0515636471264781,0.206042923509876,,Interaction,-0.0344175246437124,0.167711972092082
HC Genotype x Time_235,HMDB0010399,LPC 22:1/0:0,0.0815529796335505,0.0515636471264781,0.124228303635909,,Interaction,-0.0195117687343466,0.182617728001448
HC Genotype x Time_(joint),HMDB0010399,LPC 22:1/0:0,,,,0.257839190730902,Interaction,,
HC Genotype x Time_120,HMDB0072839,MG 19:0,-0.0681803177075469,0.0490343033544127,0.174618771591168,,Interaction,-0.164287552282196,0.0279269168671019
HC Genotype x Time_235,HMDB0072839,MG 19:0,-0.0700400999733983,0.0490343033544127,0.163508889270749,,Interaction,-0.166147334548047,0.0260671346012506
HC Genotype x Time_(joint),HMDB0072839,MG 19:0,,,,0.280902191763633,Interaction,,
HC Genotype x Time_120,HMDB0011572,MG 20:0,-0.0355001751765632,0.045716761601196,0.443519204629027,,Interaction,-0.125105027914907,0.0541046775617809
HC Genotype x Time_235,HMDB0011572,MG 20:0,-0.0271431808801626,0.045716761601196,0.557146752549377,,Interaction,-0.116748033618507,0.0624616718581815
HC Genotype x Time_(joint),HMDB0011572,MG 20:0,,,,0.721755789467485,Interaction,,
HC Genotype x Time_120,HMDB0000786,Oxypurinol,0.14519833720746,0.159433505088253,0.369705880296857,,Interaction,-0.167291332765516,0.457688007180435
HC Genotype x Time_235,HMDB0000786,Oxypurinol,0.0871055842208469,0.159433505088253,0.588869883455359,,Interaction,-0.225384085752128,0.399595254193822
HC Genotype x Time_(joint),HMDB0000786,Oxypurinol,,,,0.660709701019587,Interaction,,
HC Genotype x Time_120,HMDB0010398,LPC 22:0/0:0,0.000453859899954331,0.0351580783965531,0.98978576539094,,Interaction,-0.0684559737572897,0.0693636935571984
HC Genotype x Time_235,HMDB0010398,LPC 22:0/0:0,0.0575317029868413,0.0351580783965531,0.112211429561339,,Interaction,-0.0113781306704027,0.126441536644085
HC Genotype x Time_(joint),HMDB0010398,LPC 22:0/0:0,,,,0.187464077786894,Interaction,,
HC Genotype x Time_120,HMDB0010406,LPC 24:1/0:0,0.0543365349381331,0.0409961109416955,0.19504187685062,,Interaction,-0.0260158425075901,0.134688912383856
HC Genotype x Time_235,HMDB0010406,LPC 24:1/0:0,0.115503035603368,0.0409961109416955,0.0084835257955624,,Interaction,0.0351506581576448,0.195855413049091
HC Genotype x Time_(joint),HMDB0010406,LPC 24:1/0:0,,,,0.0294539838567466,Interaction,,
HC Genotype x Time_120,HMDB0012096,SM 30:1;O2,0.0297056177626871,0.0321219636855821,0.362461900933862,,Interaction,-0.0332534310610539,0.092664666586428
HC Genotype x Time_235,HMDB0012096,SM 30:1;O2,0.0629594893065636,0.0321219636855821,0.0593406357162291,,Interaction,4.4048282260567e-07,0.125918538130305
HC Genotype x Time_(joint),HMDB0012096,SM 30:1;O2,,,,0.163780524734449,Interaction,,
HC Genotype x Time_120,HMDB0000921,Cholestenone,0.00648723092359083,0.0293397383636127,0.826506912371228,,Interaction,-0.0510186562690901,0.0639931181162717
HC Genotype x Time_235,HMDB0000921,Cholestenone,0.0695305508223796,0.0293397383636127,0.0244248730237075,,Interaction,0.0120246636296987,0.127036438015061
HC Genotype x Time_(joint),HMDB0000921,Cholestenone,,,,0.045647757988606,Interaction,,
HC Genotype x Time_120,HMDB0011581,MG 22:0,-0.0970167005886028,0.105583064143762,0.365494888702187,,Interaction,-0.303959506310376,0.10992610513317
HC Genotype x Time_235,HMDB0011581,MG 22:0,0.0453989325423275,0.105583064143762,0.670280919424044,,Interaction,-0.161543873179446,0.252341738264101
HC Genotype x Time_(joint),HMDB0011581,MG 22:0,,,,0.398244613724807,Interaction,,
HC Genotype x Time_120,HMDB0011527,LPE 24:0/0:0,-0.00922582284662207,0.0821271922741192,0.911305473452312,,Interaction,-0.170195119703896,0.151743474010651
HC Genotype x Time_235,HMDB0011527,LPE 24:0/0:0,0.078242621596314,0.0821271922741191,0.348355310953203,,Interaction,-0.0827266752609595,0.239211918453587
HC Genotype x Time_(joint),HMDB0011527,LPE 24:0/0:0,,,,0.511872671567593,Interaction,,
