genotype,meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
All,HC meal,Time_360,HMDB0011129,LPE 0:0/18:0,0.368797987481459,0.101282345878682,0.00657671703663309,,Main,0.170284589559242,0.567311385403676
All,HC meal,Time_(joint),HMDB0011129,LPE 0:0/18:0,,,,0.00657671703663309,Main,,
All,HC meal,Time_360,HMDB0010408,LPC P-18:1/0:0,0.0570458687907563,0.0358954529872617,0.150673356979268,,Main,-0.0133092190642766,0.127400956645789
All,HC meal,Time_(joint),HMDB0010408,LPC P-18:1/0:0,,,,0.150673356979268,Main,,
All,HC meal,Time_360,HMDB0000254,Succinic acid,0.100548386900458,0.0726485339923459,0.20373083596323,,Main,-0.0418427397245399,0.242939513525456
All,HC meal,Time_(joint),HMDB0000254,Succinic acid,,,,0.20373083596323,Main,,
All,HC meal,Time_360,HMDB0010384,LPC 18:0/0:0,-0.00274996011480274,0.0326839855766639,0.935014202522103,,Main,-0.0668105718450639,0.0613106516154584
All,HC meal,Time_(joint),HMDB0010384,LPC 18:0/0:0,,,,0.935014202522103,Main,,
All,HC meal,Time_360,HMDB0011130,LPE 18:0/0:0,0.123522504426988,0.0240764048079019,0.000895603762787553,,Main,0.0763327510035006,0.170712257850476
All,HC meal,Time_(joint),HMDB0011130,LPE 18:0/0:0,,,,0.000895603762787555,Main,,
All,HC meal,Time_360,HMDB0011567,MG 18:1,0.0655599172537459,0.0441323649414595,0.175707370739548,,Main,-0.0209395180315146,0.152059352539006
All,HC meal,Time_(joint),HMDB0011567,MG 18:1,,,,0.175707370739548,Main,,
All,HC meal,Time_360,HMDB0072856,MG 17:0,0.03708361280292,0.0318962748524168,0.278485181955451,,Main,-0.0254330859078169,0.0996003115136569
All,HC meal,Time_(joint),HMDB0072856,MG 17:0,,,,0.278485181955451,Main,,
All,HC meal,Time_360,HMDB0010391,LPC 20:1/0:0,0.0311444074740732,0.0329349091972702,0.372016304688509,,Main,-0.0334080145525763,0.0956968295007228
All,HC meal,Time_(joint),HMDB0010391,LPC 20:1/0:0,,,,0.372016304688509,Main,,
All,HC meal,Time_360,HMDB0000045,AMP,-0.0654933559712908,0.105442596352447,0.543263662147194,,Main,-0.272160844822087,0.141174132879505
All,HC meal,Time_(joint),HMDB0000045,AMP,,,,0.543263662147194,Main,,
All,HC meal,Time_360,HMDB0011149,LPC O-18:0/0:0,-0.0742194145985877,0.0375562105388149,0.0835356527441921,,Main,-0.147829587254665,-0.000609241942510538
All,HC meal,Time_(joint),HMDB0011149,LPC O-18:0/0:0,,,,0.0835356527441921,Main,,
All,HC meal,Time_360,HMDB0011131,MG 18:0,0.033402572574278,0.0262388347105814,0.238756174370523,,Main,-0.0180255434584615,0.0848306886070175
All,HC meal,Time_(joint),HMDB0011131,MG 18:0,,,,0.238756174370523,Main,,
All,HC meal,Time_360,HMDB0000072,cis-Aconitic acid,0.028985862162939,0.0632560979246157,0.658977574292532,,Main,-0.0949960897693077,0.152967814095186
All,HC meal,Time_(joint),HMDB0000072,cis-Aconitic acid,,,,0.658977574292532,Main,,
All,HC meal,Time_360,HMDB0013250,N-Myristoylglycine,-0.178908263943644,0.262217205559266,0.514321458662738,,Main,-0.692853986839805,0.335037458952516
All,HC meal,Time_(joint),HMDB0013250,N-Myristoylglycine,,,,0.514321458662738,Main,,
All,HC meal,Time_360,HMDB0010390,LPC 20:0/0:0,0.0214769650036525,0.0201420678124423,0.317418662960884,,Main,-0.0180014879087344,0.0609554179160394
All,HC meal,Time_(joint),HMDB0010390,LPC 20:0/0:0,,,,0.317418662960884,Main,,
All,HC meal,Time_360,HMDB0010399,LPC 22:1/0:0,0.0604443480493223,0.0129704997599591,0.00162315365254226,,Main,0.0350221685198024,0.0858665275788422
All,HC meal,Time_(joint),HMDB0010399,LPC 22:1/0:0,,,,0.00162315365254227,Main,,
All,HC meal,Time_360,HMDB0072839,MG 19:0,0.0226368848029202,0.0261937617069792,0.41263379194002,,Main,-0.028702888142759,0.0739766577485995
All,HC meal,Time_(joint),HMDB0072839,MG 19:0,,,,0.41263379194002,Main,,
All,HC meal,Time_360,HMDB0011572,MG 20:0,0.0347115739202764,0.0223953133567412,0.159749324489964,,Main,-0.00918324025893635,0.0786063880994891
All,HC meal,Time_(joint),HMDB0011572,MG 20:0,,,,0.159749324489964,Main,,
All,HC meal,Time_360,HMDB0000786,Oxypurinol,-0.282546112412733,0.088192850810095,0.0125418529476643,,Main,-0.455404100000519,-0.109688124824947
All,HC meal,Time_(joint),HMDB0000786,Oxypurinol,,,,0.0125418529476643,Main,,
All,HC meal,Time_360,HMDB0010398,LPC 22:0/0:0,0.0649307581718403,0.0250990193879718,0.0322640445602097,,Main,0.0157366801714156,0.114124836172265
All,HC meal,Time_(joint),HMDB0010398,LPC 22:0/0:0,,,,0.0322640445602097,Main,,
All,HC meal,Time_360,HMDB0010406,LPC 24:1/0:0,0.0513311931191538,0.0288212699313805,0.112775211755519,,Main,-0.00515849594635191,0.10782088218466
All,HC meal,Time_(joint),HMDB0010406,LPC 24:1/0:0,,,,0.112775211755519,Main,,
All,HC meal,Time_360,HMDB0012096,SM 30:1;O2,0.042046200763587,0.0190985581267157,0.0588525895214635,,Main,0.00461302683522421,0.0794793746919498
All,HC meal,Time_(joint),HMDB0012096,SM 30:1;O2,,,,0.0588525895214635,Main,,
All,HC meal,Time_360,HMDB0000921,Cholestenone,0.0407357932222365,0.0176437237125123,0.0497824108568362,,Main,0.00615409474571233,0.0753174916987607
All,HC meal,Time_(joint),HMDB0000921,Cholestenone,,,,0.0497824108568362,Main,,
All,HC meal,Time_360,HMDB0011581,MG 22:0,0.0872242883164031,0.0735392383269222,0.252901351915497,,Main,-0.0569126188043645,0.231361195437171
All,HC meal,Time_(joint),HMDB0011581,MG 22:0,,,,0.252901351915497,Main,,
All,HC meal,Time_360,HMDB0011527,LPE 24:0/0:0,0.0575683820549102,0.0479428825531066,0.264184411436395,,Main,-0.0363996677491787,0.151536431858999
All,HC meal,Time_(joint),HMDB0011527,LPE 24:0/0:0,,,,0.264184411436395,Main,,
All,HC meal,Time_360,HMDB0000067,Cholesterol,0.0355837871994834,0.0249654418475207,0.191890313080268,,Main,-0.0133484788216572,0.0845160532206241
All,HC meal,Time_(joint),HMDB0000067,Cholesterol,,,,0.191890313080268,Main,,
All,HC meal,Time_360,HMDB0029220,LPC 26:1/0:0,0.0729447929584334,0.0272399532556643,0.0280187594774366,,Main,0.0195544845773313,0.126335101339536
All,HC meal,Time_(joint),HMDB0029220,LPC 26:1/0:0,,,,0.0280187594774366,Main,,
All,HC meal,Time_360,HMDB0007903,PC 30:2,0.2072078814229,0.0434855745278339,0.00141771155487913,,Main,0.121976155348345,0.292439607497454
All,HC meal,Time_(joint),HMDB0007903,PC 30:2,,,,0.00141771155487913,Main,,
All,HC meal,Time_360,HMDB0240677,SM 33:2;O2_A,0.0628986250030437,0.0157726886701434,0.00401753971274976,,Main,0.0319841552095627,0.0938130947965247
All,HC meal,Time_(joint),HMDB0240677,SM 33:2;O2_A,,,,0.00401753971274976,Main,,
All,HC meal,Time_360,HMDB0007866,PC 28:0,0.157412910829849,0.0429336936165844,0.00634216859313683,,Main,0.073262871341344,0.241562950318355
All,HC meal,Time_(joint),HMDB0007866,PC 28:0,,,,0.00634216859313683,Main,,
All,HC meal,Time_360,HMDB0007875,PC 32:3,0.108295762427632,0.0514621515720735,0.0684697313618513,,Main,0.00742994534636808,0.209161579508896
All,HC meal,Time_(joint),HMDB0007875,PC 32:3,,,,0.0684697313618513,Main,,
All,HC meal,Time_360,HMDB0001492,gamma-Tocopherol,0.151406849865364,0.0518200720733877,0.0192387577198788,,Main,0.0498395086015241,0.252974191129204
All,HC meal,Time_(joint),HMDB0001492,gamma-Tocopherol,,,,0.0192387577198788,Main,,
All,HC meal,Time_360,HMDB0011588,MG 24:0,0.0761077759596781,0.0479301904994625,0.150973936302784,,Main,-0.0178353974192683,0.170050949338625
All,HC meal,Time_(joint),HMDB0011588,MG 24:0,,,,0.150973936302784,Main,,
All,HC meal,Time_360,HMDB0012097,SM 32:1;O2,0.0419484188425877,0.0171825988995766,0.0404803516679842,,Main,0.00827052499941763,0.0756263126857578
All,HC meal,Time_(joint),HMDB0012097,SM 32:1;O2,,,,0.0404803516679842,Main,,
All,HC meal,Time_360,HMDB0007916,PC 34:5,0.159155032020935,0.0416823195766408,0.00510213915953161,,Main,0.0774576856507194,0.240852378391151
All,HC meal,Time_(joint),HMDB0007916,PC 34:5,,,,0.00510213915953161,Main,,
All,HC meal,Time_360,HMDB0007870,PC 30:1,0.122678065574926,0.0301647442730077,0.00359867096352417,,Main,0.0635551667998311,0.181800964350021
All,HC meal,Time_(joint),HMDB0007870,PC 30:1,,,,0.00359867096352417,Main,,
All,HC meal,Time_360,HMDB0240613,SM 34:2;O2,0.0353909478059285,0.012353989435994,0.0209979653726283,,Main,0.0111771285113802,0.0596047671004768
All,HC meal,Time_(joint),HMDB0240613,SM 34:2;O2,,,,0.0209979653726283,Main,,
All,HC meal,Time_360,HMDB0012085,SM 32:0;O2,0.0345431113472551,0.0086552953211208,0.0039998334558826,,Main,0.0175787325178583,0.0515074901766519
All,HC meal,Time_(joint),HMDB0012085,SM 32:0;O2,,,,0.0039998334558826,Main,,
All,HC meal,Time_360,HMDB0001893,alpha-Tocopherol,0.045355214280341,0.0166924875818478,0.0263666328517376,,Main,0.0126379386199193,0.0780724899407626
All,HC meal,Time_(joint),HMDB0001893,alpha-Tocopherol,,,,0.0263666328517376,Main,,
All,HC meal,Time_360,HMDB0007932,PC 29:0,0.148918798366626,0.0373359843358665,0.0040130828150551,,Main,0.0757402690683276,0.222097327664924
All,HC meal,Time_(joint),HMDB0007932,PC 29:0,,,,0.0040130828150551,Main,,
All,HC meal,Time_360,HMDB0000094,Citric and,-0.0129505626591764,0.0340747354755656,0.713790017276726,,Main,-0.0797370441912849,0.0538359188729322
All,HC meal,Time_(joint),HMDB0000094,Citric and,,,,0.713790017276726,Main,,
All,HC meal,Time_360,HMDB0029205,LPC 26:0/0:0,0.100658735590912,0.0259543219003298,0.00468600764713897,,Main,0.0497882646662655,0.151529206515558
All,HC meal,Time_(joint),HMDB0029205,LPC 26:0/0:0,,,,0.00468600764713897,Main,,
All,HC meal,Time_360,HMDB0006750,Hex2Cer 34:1;O2,0.0209342547788272,0.0109154143867881,0.0914164992165671,,Main,-0.000459957419277443,0.0423284669769319
All,HC meal,Time_(joint),HMDB0006750,Hex2Cer 34:1;O2,,,,0.0914164992165671,Main,,
All,HC meal,Time_360,HMDB0007883,PC 34:4,0.0862243424658371,0.0267790712282845,0.0122421213217318,,Main,0.0337373628583994,0.138711322073275
All,HC meal,Time_(joint),HMDB0007883,PC 34:4,,,,0.0122421213217318,Main,,
All,HC meal,Time_360,HMDB0007041,DG 30:2,0.131062112752943,0.155851446658909,0.424800436446277,,Main,-0.174406722698519,0.436530948204405
All,HC meal,Time_(joint),HMDB0007041,DG 30:2,,,,0.424800436446277,Main,,
All,HC meal,Time_360,HMDB0004971,HexCer 34:1;O2,0.0168653886082128,0.0242762196823769,0.506897000907877,,Main,-0.030716001969246,0.0644467791856716
All,HC meal,Time_(joint),HMDB0004971,HexCer 34:1;O2,,,,0.506897000907877,Main,,
All,HC meal,Time_360,HMDB0007936,PC 31:1,0.0728301272784664,0.0280102718037393,0.0316118110623169,,Main,0.0179299945431374,0.127730260013795
All,HC meal,Time_(joint),HMDB0007936,PC 31:1,,,,0.0316118110623169,Main,,
All,HC meal,Time_360,HMDB0008511,PC 40:10,0.0569901340894446,0.0183058586467722,0.0143753438430339,,Main,0.021110651141771,0.0928696170371181
All,HC meal,Time_(joint),HMDB0008511,PC 40:10,,,,0.0143753438430339,Main,,
All,HC meal,Time_360,HMDB0007869,PC 30:0,0.0869325913312132,0.0285066407787233,0.0158317165810599,,Main,0.0310595754049156,0.142805607257511
All,HC meal,Time_(joint),HMDB0007869,PC 30:0,,,,0.0158317165810598,Main,,
All,HC meal,Time_360,HMDB0008006,PC 34:3,0.0950623316588298,0.0226156728524765,0.00298269780589422,,Main,0.0507356128679758,0.139389050449684
All,HC meal,Time_(joint),HMDB0008006,PC 34:3,,,,0.00298269780589422,Main,,
All,HC meal,Time_360,HMDB0007940,PC 33:2,0.0752940510341646,0.028275637388431,0.0286780145284857,,Main,0.0198738017528399,0.130714300315489
All,HC meal,Time_(joint),HMDB0007940,PC 33:2,,,,0.0286780145284857,Main,,
All,HC meal,Time_360,HMDB0002329,Oxalic acid,0.368826174711074,0.103840381728641,0.00748912425159509,,Main,0.165299026522938,0.572353322899211
All,HC meal,Time_(joint),HMDB0002329,Oxalic acid,,,,0.00748912425159509,Main,,
All,HC meal,Time_360,HMDB0008428,PC 35:4,0.0583114042683456,0.0273300194272144,0.0654249322888589,,Main,0.00474456619100538,0.111878242345686
All,HC meal,Time_(joint),HMDB0008428,PC 35:4,,,,0.0654249322888589,Main,,
All,HC meal,Time_360,HMDB0007983,PC 36:4_A,0.120555990722854,0.0340992233220683,0.00767070386161572,,Main,0.0537215130116,0.187390468434108
All,HC meal,Time_(joint),HMDB0007983,PC 36:4_A,,,,0.00767070386161572,Main,,
All,HC meal,Time_360,HMDB0007873,PC 32:1,0.0753698947063729,0.0294911440775905,0.0338739683505685,,Main,0.0175672523142956,0.13317253709845
All,HC meal,Time_(joint),HMDB0007873,PC 32:1,,,,0.0338739683505685,Main,,
All,HC meal,Time_360,HMDB0011745,N-Acetylmethionine,0.112205376823125,0.0304886692779635,0.00621707410133429,,Main,0.0524475850383163,0.171963168607933
All,HC meal,Time_(joint),HMDB0011745,N-Acetylmethionine,,,,0.00621707410133429,Main,,
All,HC meal,Time_360,HMDB0000402,2-Isopropylmalic acid,-0.00242943317396952,0.03357694538486,0.944096268844688,,Main,-0.0682402461282951,0.0633813797803561
All,HC meal,Time_(joint),HMDB0000402,2-Isopropylmalic acid,,,,0.944096268844688,Main,,
All,HC meal,Time_360,HMDB0004949,Cer 34:1;O2,0.16881798298818,0.032529821025278,0.000832878969058924,,Main,0.105059533778635,0.232576432197725
All,HC meal,Time_(joint),HMDB0004949,Cer 34:1;O2,,,,0.000832878969058924,Main,,
All,HC meal,Time_360,HMDB0000956,Tartaric acid,0.0357664344178296,0.0444574852165711,0.444351650241931,,Main,-0.0513702366066498,0.122903105442309
All,HC meal,Time_(joint),HMDB0000956,Tartaric acid,,,,0.444351650241931,Main,,
All,HC meal,Time_360,HMDB0012101,SM 36:2;O2,0.0306290308751297,0.0164728393134342,0.100028021085503,,Main,-0.0016577341792014,0.0629157959294608
All,HC meal,Time_(joint),HMDB0012101,SM 36:2;O2,,,,0.100028021085503,Main,,
All,HC meal,Time_360,HMDB0007012,DG 30:1,0.554445201320322,0.203119051099381,0.0258595413453207,,Main,0.156331861165535,0.952558541475108
All,HC meal,Time_(joint),HMDB0007012,DG 30:1,,,,0.0258595413453207,Main,,
All,HC meal,Time_360,HMDB0010168,SM 34:0;O2,0.0295869976290406,0.0220416780513801,0.216336433359612,,Main,-0.0136146913516644,0.0727886866097457
All,HC meal,Time_(joint),HMDB0010168,SM 34:0;O2,,,,0.216336433359612,Main,,
All,HC meal,Time_360,HMDB0000134,Fumaric and,-0.240287480979661,0.140404340561439,0.125370270458452,,Main,-0.515479988480083,0.03490502652076
All,HC meal,Time_(joint),HMDB0000134,Fumaric and,,,,0.125370270458452,Main,,
All,HC meal,Time_360,HMDB0007025,DG 34:4,0.31573947116754,0.135799994128435,0.048536577504891,,Main,0.0495714826758082,0.581907459659272
All,HC meal,Time_(joint),HMDB0007025,DG 34:4,,,,0.048536577504891,Main,,
All,HC meal,Time_360,HMDB0009783,PI 34:1,0.055936301119996,0.0493259540164586,0.28962469769847,,Main,-0.0407425687522629,0.152615170992255
All,HC meal,Time_(joint),HMDB0009783,PI 34:1,,,,0.28962469769847,Main,,
All,HC meal,Time_360,HMDB0007991,PC 38:6,0.0406480741008802,0.0212273154432645,0.0918356595253945,,Main,-0.000957464167918233,0.0822536123696787
All,HC meal,Time_(joint),HMDB0007991,PC 38:6,,,,0.0918356595253945,Main,,
All,HC meal,Time_360,HMDB0001857,"1,3-Dimethyluric acid",-0.321614465193736,0.141756623179909,0.0529913121129328,,Main,-0.599457446626357,-0.0437714837611148
All,HC meal,Time_(joint),HMDB0001857,"1,3-Dimethyluric acid",,,,0.0529913121129328,Main,,
All,HC meal,Time_360,HMDB0241924,N-palmitoyl glutamine,0.0923274468586438,0.1617309743813,0.583762841402579,,Main,-0.224665262928705,0.409320156645993
All,HC meal,Time_(joint),HMDB0241924,N-palmitoyl glutamine,,,,0.583762841402579,Main,,
All,HC meal,Time_360,HMDB0240622,SM 35:1;O2,0.00312273303202599,0.0214739547742488,0.887976797028942,,Main,-0.0389662183255017,0.0452116843895537
All,HC meal,Time_(joint),HMDB0240622,SM 35:1;O2,,,,0.887976797028942,Main,,
