Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_235,0.156219187510567,0.0704479140305554,0.0320531619567383,,,Main,0.0181412760106781,0.294297099010455,Kynurenine,"0.2 (0, 0.3)",0.032,0.032*,,HMDB0000684
Time_(joint),,,,12.5478302586087,5.34136199984519e-05,Main,,,Kynurenine,"NA (NA, NA)",,,5.3e-05***,HMDB0000684
Time_120,-0.00553723091798035,0.0321668281751174,0.864153463073345,,,Main,-0.0685842141412105,0.0575097523052498,Ketocaproic and or Ketoisocaproic acid,"0 (-0.1, 0.1)",0.864,0.864,,HMDB0000491
Time_235,-0.0187178606905719,0.0321668281751174,0.563744965939663,,,Main,-0.0817648439138021,0.0443291225326582,Ketocaproic and or Ketoisocaproic acid,"0 (-0.1, 0)",0.564,0.564,,HMDB0000491
Time_(joint),,,,0.178713844306001,0.836977837334441,Main,,,Ketocaproic and or Ketoisocaproic acid,"NA (NA, NA)",,,0.837,HMDB0000491
Time_120,0.0169732161880081,0.0326985622580957,0.606428605102993,,,Main,-0.0471159658378594,0.0810623982138756,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"0 (0, 0.1)",0.606,0.606,,HMDB0000317
Time_235,-0.156516159626736,0.0326985622580956,2.12183972791617e-05,,,Main,-0.220605341652604,-0.0924269776008689,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"-0.2 (-0.2, -0.1)",2.1e-05,2.1e-05***,,HMDB0000317
Time_(joint),,,,17.1106648236301,3.66967974829855e-06,Main,,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"NA (NA, NA)",,,3.7e-06***,HMDB0000317
Time_120,-0.205406046588315,0.0339099277320107,3.28411041592142e-07,,,Main,-0.271869504943056,-0.138942588233574,3-Methylxanthine,"-0.2 (-0.3, -0.1)",3.3e-07,3.3e-07***,,HMDB0001886
Time_235,-0.384408674287621,0.0339099277320108,2.33089531707226e-14,,,Main,-0.450872132642362,-0.31794521593288,3-Methylxanthine,"-0.4 (-0.5, -0.3)",2.3e-14,2.3e-14***,,HMDB0001886
Time_(joint),,,,64.3554098362443,1.62462485083144e-13,Main,,,3-Methylxanthine,"NA (NA, NA)",,,1.6e-13***,HMDB0001886
Time_120,-0.0102138215359508,0.0143090081444558,0.479296753782928,,,Main,-0.0382594774990841,0.0178318344271824,2-Hydroxyvaleric and or 2-Hydroxyisovaleric acid,"0 (0, 0)",0.479,0.479,,HMDB0000407
Time_235,-0.0842933326336648,0.0143090081444558,5.70001430573222e-07,,,Main,-0.112338988596798,-0.0562476766705315,2-Hydroxyvaleric and or 2-Hydroxyisovaleric acid,"-0.1 (-0.1, -0.1)",5.7e-07,5.7e-07***,,HMDB0000407
Time_(joint),,,,20.6717196632385,5.622575661413e-07,Main,,,2-Hydroxyvaleric and or 2-Hydroxyisovaleric acid,"NA (NA, NA)",,,5.6e-07***,HMDB0000407
Time_120,-0.059507617197618,0.191717733750465,0.757798109628687,,,Main,-0.43527437534853,0.316259140953294,Sphingosine,"-0.1 (-0.4, 0.3)",0.758,0.758,,HMDB0000252
Time_235,0.38426241745834,0.191717733750465,0.0515125147713383,,,Main,0.00849565930742813,0.760029175609252,Sphingosine,"0.4 (0, 0.8)",0.052,0.052,,HMDB0000252
Time_(joint),,,,3.15715844259712,0.0528010292654011,Main,,,Sphingosine,"NA (NA, NA)",,,0.053,HMDB0000252
Time_120,0.0212722452811523,0.0250850159932225,0.401241633562789,,,Main,-0.0278943860655638,0.0704388766278683,Retinol,"0 (0, 0.1)",0.401,0.401,,HMDB0000305
Time_235,0.0581391760658908,0.0250850159932225,0.0254106065415675,,,Main,0.00897254471917475,0.107305807412607,Retinol,"0.1 (0, 0.1)",0.025,0.025*,,HMDB0000305
Time_(joint),,,,2.75024583053999,0.0754353475841591,Main,,,Retinol,"NA (NA, NA)",,,0.075,HMDB0000305
Time_120,-0.152690038075249,0.0565285980338333,0.00992256564736969,,,Main,-0.263486090221563,-0.0418939859289361,Isovaleric and or Valeric and or Methylbutyric acid,"-0.2 (-0.3, 0)",9.9e-03,9.9e-03**,,HMDB0000718
Time_235,-0.0946471490709603,0.0565285980338333,0.101499151005892,,,Main,-0.205443201217274,0.016148903075353,Isovaleric and or Valeric and or Methylbutyric acid,"-0.1 (-0.2, 0)",0.101,0.101,,HMDB0000718
Time_(joint),,,,3.71788492893732,0.0326112735274732,Main,,,Isovaleric and or Valeric and or Methylbutyric acid,"NA (NA, NA)",,,0.033*,HMDB0000718
Time_120,-0.327355268844977,0.0632422936388959,5.9971097027015e-06,,,Main,-0.451310164377213,-0.203400373312741,Hydroxybutyric and or Hydroxyisobutyric acid,"-0.3 (-0.5, -0.2)",6.0e-06,6.0e-06***,,HMDB0000008
Time_235,-0.298100378958902,0.0632422936388959,2.68263920112438e-05,,,Main,-0.422055274491138,-0.174145483426666,Hydroxybutyric and or Hydroxyisobutyric acid,"-0.3 (-0.4, -0.2)",2.7e-05,2.7e-05***,,HMDB0000008
Time_(joint),,,,16.408454328637,5.42300665604446e-06,Main,,,Hydroxybutyric and or Hydroxyisobutyric acid,"NA (NA, NA)",,,5.4e-06***,HMDB0000008
Time_120,0.0303702416662732,0.0232761710635178,0.199072543641592,,,Main,-0.0152510536182217,0.0759915369507681,Cer 18:1;O2/24:1,"0 (0, 0.1)",0.199,0.199,,HMDB0004953
Time_235,0.0073970018949037,0.0232761710635178,0.752216720052685,,,Main,-0.0382242933895912,0.0530182971793986,Cer 18:1;O2/24:1,"0 (0, 0.1)",0.752,0.752,,HMDB0004953
Time_(joint),,,,0.925859558221739,0.404125264094943,Main,,,Cer 18:1;O2/24:1,"NA (NA, NA)",,,0.404,HMDB0004953
Time_120,-0.0133883821490501,0.0410062348112269,0.745670392277025,,,Main,-0.0937606023790549,0.0669838380809546,Cer 18:1;O2/22:0,"0 (-0.1, 0.1)",0.746,0.746,,HMDB0004952
Time_235,0.0157439484269595,0.0410062348112269,0.702959567962252,,,Main,-0.0646282718030452,0.0961161686569642,Cer 18:1;O2/22:0,"0 (-0.1, 0.1)",0.703,0.703,,HMDB0004952
Time_(joint),,,,0.252910061411668,0.777711816603863,Main,,,Cer 18:1;O2/22:0,"NA (NA, NA)",,,0.778,HMDB0004952
Time_120,0.0847187658710749,0.0422039019076229,0.0511735573682692,,,Main,0.00199911813213408,0.167438413610016,Indoxyl sulfate,"0.1 (0, 0.2)",0.051,0.051,,HMDB0000682
Time_235,0.10401309092547,0.0422039019076229,0.0178929389960834,,,Main,0.0212934431865296,0.186732738664411,Indoxyl sulfate,"0.1 (0, 0.2)",0.018,0.018*,,HMDB0000682
Time_(joint),,,,3.4374914988504,0.0414396511803388,Main,,,Indoxyl sulfate,"NA (NA, NA)",,,0.041*,HMDB0000682
Time_120,0.0114784026545455,0.0470396029971556,0.808406731126993,,,Main,-0.0807192192198795,0.103676024528971,LPC 18:3/0:0,"0 (-0.1, 0.1)",0.808,0.808,,HMDB0010387
Time_235,0.0252136639168897,0.0470396029971556,0.594779679762662,,,Main,-0.0669839579575354,0.117411285791315,LPC 18:3/0:0,"0 (-0.1, 0.1)",0.595,0.595,,HMDB0010387
Time_(joint),,,,0.144036621749926,0.866281900259293,Main,,,LPC 18:3/0:0,"NA (NA, NA)",,,0.866,HMDB0010387
Time_120,-0.303474522182136,0.131104273512197,0.0255858133264523,,,Main,-0.560438898266042,-0.0465101460982307,1-Methylxanthine,"-0.3 (-0.6, 0)",0.026,0.026*,,HMDB0010738
Time_235,-0.69574056098744,0.131104273512197,3.91181766137861e-06,,,Main,-0.952704937071345,-0.438776184903534,1-Methylxanthine,"-0.7 (-1, -0.4)",3.9e-06,3.9e-06***,,HMDB0010738
Time_(joint),,,,14.157364063725,1.99646980721809e-05,Main,,,1-Methylxanthine,"NA (NA, NA)",,,2e-05***,HMDB0010738
Time_120,-0.0949009851596868,0.0422462367377571,0.0299964248169798,,,Main,-0.177703609165691,-0.0120983611536828,Cer 18:1;O2/18:0,"-0.1 (-0.2, 0)",0.03,0.03*,,HMDB0004950
Time_235,-0.0889555533388917,0.0422462367377571,0.041254634422093,,,Main,-0.171758177344896,-0.00615292933288771,Cer 18:1;O2/18:0,"-0.1 (-0.2, 0)",0.041,0.041*,,HMDB0004950
Time_(joint),,,,3.16658499071302,0.0523701989506864,Main,,,Cer 18:1;O2/18:0,"NA (NA, NA)",,,0.052,HMDB0004950
Time_120,0.411804683244731,0.0735007360088269,1.47766688952494e-06,,,Main,0.267743240667431,0.555866125822032,LPE 0:0/18:2,"0.4 (0.3, 0.6)",1.5e-06,1.5e-06***,,HMDB0011477
Time_235,0.673522464834128,0.0735007360088269,1.42450729247677e-11,,,Main,0.529461022256827,0.817583907411429,LPE 0:0/18:2,"0.7 (0.5, 0.8)",1.4e-11,1.4e-11***,,HMDB0011477
Time_(joint),,,,42.6796212665932,7.6312427366781e-11,Main,,,LPE 0:0/18:2,"NA (NA, NA)",,,7.6e-11***,HMDB0011477
Time_120,0.00233401779049239,0.0619324655906816,0.970116206470098,,,Main,-0.119053614767244,0.123721650348228,LPE 0:0/20:4,"0 (-0.1, 0.1)",0.97,0.97,,HMDB0011487
Time_235,0.148699237525105,0.0619324655906816,0.0208566395212275,,,Main,0.0273116049673693,0.270086870082841,LPE 0:0/20:4,"0.1 (0, 0.3)",0.021,0.021*,,HMDB0011487
Time_(joint),,,,3.78379258762797,0.0308378555717761,Main,,,LPE 0:0/20:4,"NA (NA, NA)",,,0.031*,HMDB0011487
Time_120,-0.103318217870812,0.109041850265971,0.348799115682118,,,Main,-0.317040244392115,0.110403808650492,Cer 18:1;O2/15:0,"-0.1 (-0.3, 0.1)",0.349,0.349,,HMDB0240685
Time_235,-0.0104920253568477,0.109041850265971,0.923803377336497,,,Main,-0.224214051878151,0.203230001164456,Cer 18:1;O2/15:0,"0 (-0.2, 0.2)",0.924,0.924,,HMDB0240685
Time_(joint),,,,0.54390901632446,0.584508131002613,Main,,,Cer 18:1;O2/15:0,"NA (NA, NA)",,,0.585,HMDB0240685
Time_120,0.00794138382902593,0.0307344416521699,0.797370202817788,,,Main,-0.0522981218092271,0.0681808894672789,MG 14:0,"0 (-0.1, 0.1)",0.797,0.797,,HMDB0011561
Time_235,-0.0212115837486586,0.0307344416521699,0.49389187716354,,,Main,-0.0814510893869116,0.0390279218895944,MG 14:0,"0 (-0.1, 0)",0.494,0.494,,HMDB0011561
Time_(joint),,,,0.480938620552674,0.621565430005365,Main,,,MG 14:0,"NA (NA, NA)",,,0.622,HMDB0011561
Time_120,-0.0310090599232488,0.0264928945834682,0.248411717847458,,,Main,-0.0829351333068465,0.0209170134603489,Indolelactic acid,"0 (-0.1, 0)",0.248,0.248,,HMDB0000671
Time_235,-0.0925347276838298,0.0264928945834682,0.00113932086620519,,,Main,-0.144460801067428,-0.0406086543002321,Indolelactic acid,"-0.1 (-0.1, 0)",1.1e-03,1.1e-03**,,HMDB0000671
Time_(joint),,,,6.32100899097074,0.00398266491113039,Main,,,Indolelactic acid,"NA (NA, NA)",,,4e-03**,HMDB0000671
Time_120,-0.104782651013987,0.0732645165587231,0.160058353955121,,,Main,-0.248381103469085,0.0388158014411099,3-Indolepropionic acid,"-0.1 (-0.2, 0)",0.16,0.16,,HMDB0002302
Time_235,-0.210756078215994,0.0732645165587231,0.00629011440564196,,,Main,-0.354354530671091,-0.0671576257608963,3-Indolepropionic acid,"-0.2 (-0.4, -0.1)",6.3e-03,6.3e-03**,,HMDB0002302
Time_(joint),,,,4.13759012074364,0.0228985897663956,Main,,,3-Indolepropionic acid,"NA (NA, NA)",,,0.023*,HMDB0002302
Time_120,0.097497718294418,0.044554465785976,0.0342627698843243,,,Main,0.0101709653539051,0.184824471234931,LPC 18:2/0:0,"0.1 (0, 0.2)",0.034,0.034*,,HMDB0010386
Time_235,0.187197618855695,0.044554465785976,0.000135228845626641,,,Main,0.0998708659151816,0.274524371796208,LPC 18:2/0:0,"0.2 (0.1, 0.3)",1.4e-04,1.4e-04***,,HMDB0010386
Time_(joint),,,,8.83159783246918,0.000628634715991582,Main,,,LPC 18:2/0:0,"NA (NA, NA)",,,6.3e-04***,HMDB0010386
Time_120,0.355948236711611,0.0569015423728959,1.70328319996758e-07,,,Main,0.244421213660735,0.467475259762487,LPE 18:2/0:0,"0.4 (0.2, 0.5)",1.7e-07,1.7e-07***,,HMDB0011507
Time_235,0.592348796135592,0.0569015423728959,3.33419160164389e-13,,,Main,0.480821773084716,0.703875819186468,LPE 18:2/0:0,"0.6 (0.5, 0.7)",3.3e-13,3.3e-13***,,HMDB0011507
Time_(joint),,,,54.9204040822349,1.90141298951993e-12,Main,,,LPE 18:2/0:0,"NA (NA, NA)",,,1.9e-12***,HMDB0011507
Time_120,-0.0755510108263238,0.165132881292097,0.649657907258845,,,Main,-0.399211458158833,0.248109436506186,LPE 20:4/0:0,"-0.1 (-0.4, 0.2)",0.65,0.65,,HMDB0011517
Time_235,0.445728167353213,0.165132881292097,0.00997087353639153,,,Main,0.122067720020703,0.769388614685722,LPE 20:4/0:0,"0.4 (0.1, 0.8)",1.0e-02,1.0e-02**,,HMDB0011517
Time_(joint),,,,5.81998890413316,0.00587455154204516,Main,,,LPE 20:4/0:0,"NA (NA, NA)",,,5.9e-03**,HMDB0011517
Time_120,-0.0410683958291273,0.0228320616424292,0.0792525635175672,,,Main,-0.0858192366482885,0.00368244499003392,Glucuronic acid,"0 (-0.1, 0)",0.079,0.079,,HMDB0000127
Time_235,-0.0433572443956454,0.0228320616424292,0.0644528729509052,,,Main,-0.0881080852148066,0.00139359642351579,Glucuronic acid,"0 (-0.1, 0)",0.064,0.064,,HMDB0000127
Time_(joint),,,,2.28383003051004,0.114409572296534,Main,,,Glucuronic acid,"NA (NA, NA)",,,0.114,HMDB0000127
Time_120,0.211937076264456,0.0721734960454452,0.00536657261189246,,,Main,0.0704770240153834,0.353397128513528,LPE 0:0/16:0,"0.2 (0.1, 0.4)",5.4e-03,5.4e-03**,,HMDB0011473
Time_235,0.27481167472124,0.0721734960454452,0.00045030963838398,,,Main,0.133351622472168,0.416271726970313,LPE 0:0/16:0,"0.3 (0.1, 0.4)",4.5e-04,4.5e-04***,,HMDB0011473
Time_(joint),,,,7.96004817670764,0.00117171046561248,Main,,,LPE 0:0/16:0,"NA (NA, NA)",,,1.2e-03**,HMDB0011473
Time_120,0.326513761618364,0.25637698117703,0.209819619343365,,,Main,-0.175985121488615,0.829012644725343,Stearamide,"0.3 (-0.2, 0.8)",0.21,0.21,,HMDB0034146
Time_235,0.134539595308028,0.25637698117703,0.60250047809792,,,Main,-0.367959287798951,0.637038478415007,Stearamide,"0.1 (-0.4, 0.6)",0.603,0.603,,HMDB0034146
Time_(joint),,,,0.819353380960176,0.447636813245318,Main,,,Stearamide,"NA (NA, NA)",,,0.448,HMDB0034146
Time_120,-0.0166019726457472,0.0978166311973395,0.866040938688974,,,Main,-0.208322569792533,0.175118624501038,LPE 20:3/0:0,"0 (-0.2, 0.2)",0.866,0.866,,HMDB0011516
Time_235,0.150799156873525,0.0978166311973395,0.130659870118846,,,Main,-0.0409214402732608,0.34251975402031,LPE 20:3/0:0,"0.2 (0, 0.3)",0.131,0.131,,HMDB0011516
Time_(joint),,,,1.77810240649418,0.181441582709885,Main,,,LPE 20:3/0:0,"NA (NA, NA)",,,0.181,HMDB0011516
Time_120,0.0111329827412031,0.0283701853973804,0.696733553367856,,,Main,-0.0444725806376625,0.0667385461200687,MG 15:0,"0 (0, 0.1)",0.697,0.697,,HMDB0011563
Time_235,-0.00412347368082099,0.0283701853973804,0.885133534248865,,,Main,-0.0597290370596866,0.0514820896980446,MG 15:0,"0 (-0.1, 0.1)",0.885,0.885,,HMDB0011563
Time_(joint),,,,0.154769093403442,0.857099247192186,Main,,,MG 15:0,"NA (NA, NA)",,,0.857,HMDB0011563
Time_120,-0.00685855256231034,0.0988894216594303,0.945035596716485,,,Main,-0.200681819014794,0.186964713890173,Piperine,"0 (-0.2, 0.2)",0.945,0.945,,HMDB0029377
Time_235,-0.0847671560617934,0.0988894216594303,0.396204046874613,,,Main,-0.278590422514277,0.10905611039069,Piperine,"-0.1 (-0.3, 0.1)",0.396,0.396,,HMDB0029377
Time_(joint),,,,0.453424033245313,0.638522545823084,Main,,,Piperine,"NA (NA, NA)",,,0.639,HMDB0029377
Time_120,-0.219144961962362,0.0524346759570576,0.000144850441242164,,,Main,-0.321916926838195,-0.116372997086529,LPC 22:5/0:0,"-0.2 (-0.3, -0.1)",1.4e-04,1.4e-04***,,HMDB0010403
Time_235,-0.0935801697813036,0.0524346759570576,0.0815342667289498,,,Main,-0.196352134657136,0.00919179509452918,LPC 22:5/0:0,"-0.1 (-0.2, 0)",0.082,0.082,,HMDB0010403
Time_(joint),,,,8.79566512639577,0.000644748600153088,Main,,,LPC 22:5/0:0,"NA (NA, NA)",,,6.4e-04***,HMDB0010403
Time_120,0.0608589791217398,0.0877657275656406,0.491859917301089,,,Main,-0.111161846906916,0.232879805150395,MG 18:2,"0.1 (-0.1, 0.2)",0.492,0.492,,HMDB0011568
Time_235,0.0304848987055683,0.0877657275656406,0.730067510216123,,,Main,-0.141535927323087,0.202505724734224,MG 18:2,"0 (-0.1, 0.2)",0.73,0.73,,HMDB0011568
Time_(joint),,,,0.24041961398429,0.78737252047126,Main,,,MG 18:2,"NA (NA, NA)",,,0.787,HMDB0011568
Time_120,0.193202938452079,0.0481496031543131,0.000242102111659108,,,Main,0.0988297162696253,0.287576160634533,LPE 18:1/0:0,"0.2 (0.1, 0.3)",2.4e-04,2.4e-04***,,HMDB0011506
Time_235,0.366988662538658,0.0481496031543131,1.90020175551963e-09,,,Main,0.272615440356204,0.461361884721111,LPE 18:1/0:0,"0.4 (0.3, 0.5)",1.9e-09,1.9e-09***,,HMDB0011506
Time_(joint),,,,29.0733411708912,1.18813885500195e-08,Main,,,LPE 18:1/0:0,"NA (NA, NA)",,,1.2e-08***,HMDB0011506
Time_120,0.079997046395928,0.0198875000738798,0.000234864174650993,,,Main,0.0410175462511236,0.118976546540732,Hexose,"0.1 (0, 0.1)",2.3e-04,2.3e-04***,,HMDB0000122
Time_235,-0.000588067600275441,0.0198875000738798,0.976550289463594,,,Main,-0.0395675677450798,0.038391432544529,Hexose,"0 (0, 0)",0.977,0.977,,HMDB0000122
Time_(joint),,,,10.8667687820737,0.000157219559530806,Main,,,Hexose,"NA (NA, NA)",,,1.6e-04***,HMDB0000122
Time_120,-0.221969282867418,0.0528801770147768,0.000136899848911765,,,Main,-0.32561442981638,-0.118324135918455,LPC 22:4/0:0,"-0.2 (-0.3, -0.1)",1.4e-04,1.4e-04***,,HMDB0010401
Time_235,-0.124332174220677,0.0528801770147768,0.0234804507020138,,,Main,-0.22797732116964,-0.0206870272717146,LPC 22:4/0:0,"-0.1 (-0.2, 0)",0.023,0.023*,,HMDB0010401
Time_(joint),,,,8.85235353977145,0.000619519645939498,Main,,,LPC 22:4/0:0,"NA (NA, NA)",,,6.2e-04***,HMDB0010401
Time_120,-0.184337629858137,0.0504593887382502,0.000712969475316862,,,Main,-0.283238031785108,-0.0854372279311668,LPC 20:2/0:0,"-0.2 (-0.3, -0.1)",7.1e-04,7.1e-04***,,HMDB0010392
Time_235,-0.17889589179098,0.0504593887382502,0.000978115103884973,,,Main,-0.27779629371795,-0.0799954898640097,LPC 20:2/0:0,"-0.2 (-0.3, -0.1)",9.8e-04,9.8e-04***,,HMDB0010392
Time_(joint),,,,8.64229217712578,0.000718551214969778,Main,,,LPC 20:2/0:0,"NA (NA, NA)",,,7.2e-04***,HMDB0010392
Time_120,-0.0081546151128623,0.0146637756547001,0.581089118294027,,,Main,-0.0368956153960745,0.0205863851703499,MG 16:0,"0 (0, 0)",0.581,0.581,,HMDB0011564
Time_235,-0.0111241267682083,0.0146637756547001,0.452320585403694,,,Main,-0.0398651270514205,0.0176168735150039,MG 16:0,"0 (0, 0)",0.452,0.452,,HMDB0011564
Time_(joint),,,,0.308585396662896,0.736136213277614,Main,,,MG 16:0,"NA (NA, NA)",,,0.736,HMDB0011564
Time_120,-0.237997565101042,0.0888928969828691,0.0105417035421398,,,Main,-0.412227643187466,-0.0637674870146191,Cortisol,"-0.2 (-0.4, -0.1)",0.011,0.011*,,HMDB0000063
Time_235,-0.36454748558609,0.0888928969828691,0.00018456671966058,,,Main,-0.538777563672513,-0.190317407499666,Cortisol,"-0.4 (-0.5, -0.2)",1.8e-04,1.8e-04***,,HMDB0000063
Time_(joint),,,,8.67096801712398,0.000704107817415851,Main,,,Cortisol,"NA (NA, NA)",,,7e-04***,HMDB0000063
Time_120,-0.276655230539828,0.0557356632224013,1.19761142437969e-05,,,Main,-0.385897130455735,-0.167413330623922,Cortisone,"-0.3 (-0.4, -0.2)",1.2e-05,1.2e-05***,,HMDB0002802
Time_235,-0.25865856410754,0.0557356632224013,3.38660700016143e-05,,,Main,-0.367900464023446,-0.149416664191633,Cortisone,"-0.3 (-0.4, -0.1)",3.4e-05,3.4e-05***,,HMDB0002802
Time_(joint),,,,15.4265688370981,9.48028990915644e-06,Main,,,Cortisone,"NA (NA, NA)",,,9.5e-06***,HMDB0002802
Time_120,0.0422593199633322,0.199310042844139,0.833110768193468,,,Main,-0.34838836401118,0.432907003937845,Palmitoleoyl-EA,"0 (-0.3, 0.4)",0.833,0.833,,HMDB0013648
Time_235,-0.012666740406315,0.199310042844139,0.949627710981257,,,Main,-0.403314424380828,0.377980943568197,Palmitoleoyl-EA,"0 (-0.4, 0.4)",0.95,0.95,,HMDB0013648
Time_(joint),,,,0.0416465858289544,0.959248278775373,Main,,,Palmitoleoyl-EA,"NA (NA, NA)",,,0.959,HMDB0013648
Time_120,-0.0894135432375313,0.043114917545664,0.0442622762993516,,,Main,-0.173918781627033,-0.0049083048480299,LPC 0:0/18:0,"-0.1 (-0.2, 0)",0.044,0.044*,,HMDB0011128
Time_235,-0.135767544708396,0.043114917545664,0.00301437630839272,,,Main,-0.220272783097898,-0.051262306318895,LPC 0:0/18:0,"-0.1 (-0.2, -0.1)",3.0e-03,3.0e-03**,,HMDB0011128
Time_(joint),,,,5.12424212998899,0.010202050775025,Main,,,LPC 0:0/18:0,"NA (NA, NA)",,,0.01*,HMDB0011128
Time_120,0.0909262830819964,0.0901332634900472,0.318848121945346,,,Main,-0.0857349133584961,0.267587479522489,LPE 0:0/18:0,"0.1 (-0.1, 0.3)",0.319,0.319,,HMDB0011129
Time_235,0.116335831588483,0.0901332634900472,0.203864593019312,,,Main,-0.0603253648520093,0.292997028028976,LPE 0:0/18:0,"0.1 (-0.1, 0.3)",0.204,0.204,,HMDB0011129
Time_(joint),,,,0.921025992478962,0.406000690249815,Main,,,LPE 0:0/18:0,"NA (NA, NA)",,,0.406,HMDB0011129
Time_120,-0.0162846958945617,0.0477601946735968,0.734827553125132,,,Main,-0.109894677454811,0.077325285665688,Sebacic acid,"0 (-0.1, 0.1)",0.735,0.735,,HMDB0000792
