genotype,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,Time_235,HMDB0011561,MG 14:0,-0.0792127098140725,0.0523213271167997,0.149537267832682,,Main,-0.181762510963,0.023337091334855
HC genotype,Time_(joint),HMDB0011561,MG 14:0,,,,0.3293643333044,Main,,
HC genotype,Time_120,HMDB0000671,Indolelactic acid,-0.195916988880089,0.255081509123831,0.453640914837588,,Main,-0.695876746762798,0.304042769002621
HC genotype,Time_235,HMDB0000671,Indolelactic acid,0.0358911749714223,0.255081509123831,0.889859403291349,,Main,-0.464068582911287,0.535850932854132
HC genotype,Time_(joint),HMDB0000671,Indolelactic acid,,,,0.628290000040222,Main,,
HC genotype,Time_120,HMDB0010386,LPC 18:2/0:0,0.080989916436541,0.0686521419194099,0.255357845035873,,Main,-0.0535682817255024,0.215548114598584
HC genotype,Time_235,HMDB0010386,LPC 18:2/0:0,0.158332994794051,0.0686521419194099,0.0348109205691034,,Main,0.0237747966320079,0.292891192956095
HC genotype,Time_(joint),HMDB0010386,LPC 18:2/0:0,,,,0.100614969037182,Main,,
HC genotype,Time_120,HMDB0010404,LPC 22:6/0:0,-0.111023002367608,0.0516298357652744,0.0471590068097934,,Main,-0.212217480467546,-0.00982852426767029
HC genotype,Time_235,HMDB0010404,LPC 22:6/0:0,-0.0836817618293989,0.0516298357652744,0.124598194491318,,Main,-0.184876239929337,0.0175127162705389
HC genotype,Time_(joint),HMDB0010404,LPC 22:6/0:0,,,,0.112650217496225,Main,,
HC genotype,Time_120,HMDB0011507,LPE 18:2/0:0,0.390346114707464,0.0716254817037791,5.3460790533946e-05,,Main,0.249960170568057,0.530732058846871
HC genotype,Time_235,HMDB0011507,LPE 18:2/0:0,0.640184472536333,0.0716254817037791,1.27911589425089e-07,,Main,0.499798528396926,0.78057041667574
HC genotype,Time_(joint),HMDB0011507,LPE 18:2/0:0,,,,5.40402298036867e-07,Main,,
HC genotype,Time_120,HMDB0011526,LPE 22:6/0:0,-0.150001601530317,0.0839157690324948,0.0928074590778573,,Main,-0.314476508834007,0.0144733057733727
HC genotype,Time_235,HMDB0011526,LPE 22:6/0:0,-0.11364986618095,0.0839157690324948,0.194449326462927,,Main,-0.278124773484639,0.0508250411227401
HC genotype,Time_(joint),HMDB0011526,LPE 22:6/0:0,,,,0.207295797704572,Main,,
HC genotype,Time_120,HMDB0010395,LPC 20:4/0:0,-0.0589742482604033,0.0477483514790467,0.234621556067062,,Main,-0.152561017159335,0.0346125206385283
HC genotype,Time_235,HMDB0010395,LPC 20:4/0:0,-0.0472458970383818,0.0477483514790467,0.337158402671335,,Main,-0.140832665937313,0.0463408718605497
HC genotype,Time_(joint),HMDB0010395,LPC 20:4/0:0,,,,0.443840168100543,Main,,
HC genotype,Time_120,HMDB0011517,LPE 20:4/0:0,0.0908119731552008,0.184062083542331,0.628449680020328,,Main,-0.269949710587769,0.45157365689817
HC genotype,Time_235,HMDB0011517,LPE 20:4/0:0,0.697125563889071,0.184062083542331,0.0016149418649794,,Main,0.336363880146101,1.05788724763204
HC genotype,Time_(joint),HMDB0011517,LPE 20:4/0:0,,,,0.00308408528451353,Main,,
HC genotype,Time_120,HMDB0011473,LPE 0:0/16:0,0.295430347126005,0.0860102082638414,0.0034007655623587,,Main,0.126850338928876,0.464010355323135
HC genotype,Time_235,HMDB0011473,LPE 0:0/16:0,0.455663725118143,0.0860102082638414,7.21518695585491e-05,,Main,0.287083716921014,0.624243733315272
HC genotype,Time_(joint),HMDB0011473,LPE 0:0/16:0,,,,0.000260466893390248,Main,,
HC genotype,Time_120,HMDB0010382,LPC 16:0/0:0,-0.0619414325768732,0.0272526363138467,0.0371736434472349,,Main,-0.115356599752013,-0.00852626540173371
HC genotype,Time_235,HMDB0010382,LPC 16:0/0:0,-0.114312434383629,0.0272526363138467,0.000686277917021414,,Main,-0.167727601558768,-0.0608972672084892
HC genotype,Time_(joint),HMDB0010382,LPC 16:0/0:0,,,,0.00262177249264552,Main,,
HC genotype,Time_120,HMDB0001855,5-Hydroxytryptophol,-0.0777456262492014,0.0799751109285138,0.345457615876996,,Main,-0.234496843669088,0.0790055911706856
HC genotype,Time_235,HMDB0001855,5-Hydroxytryptophol,0.000701258398147294,0.0799751109285138,0.993112273101982,,Main,-0.15604995902174,0.157452475818034
HC genotype,Time_(joint),HMDB0001855,5-Hydroxytryptophol,,,,0.542400132022309,Main,,
HC genotype,Time_120,HMDB0011503,LPE 16:0/0:0,0.167065625584144,0.0415478964580743,0.000987385812027298,,Main,0.0856317485263185,0.24849950264197
HC genotype,Time_235,HMDB0011503,LPE 16:0/0:0,0.224510890089643,0.0415478964580743,5.85374998941107e-05,,Main,0.143077013031817,0.305944767147468
HC genotype,Time_(joint),HMDB0011503,LPE 16:0/0:0,,,,0.000165176813902617,Main,,
HC genotype,Time_120,HMDB0034146,Stearamide,0.0244106692608534,0.0482160528747478,0.617281671997455,,Main,-0.0700927943736522,0.118914132895359
HC genotype,Time_235,HMDB0034146,Stearamide,0.0241666645408635,0.0482160528747477,0.620785361854264,,Main,-0.0703367990936421,0.118670128175369
HC genotype,Time_(joint),HMDB0034146,Stearamide,,,,0.845349687485284,Main,,
HC genotype,Time_120,HMDB0010393,LPC 20:3/0:0,-0.068134201449514,0.052321124562199,0.21127235617113,,Main,-0.170683605591424,0.034415202692396
HC genotype,Time_235,HMDB0010393,LPC 20:3/0:0,-0.0300226099800566,0.052321124562199,0.574071877961252,,Main,-0.132572014121967,0.0725267941618534
HC genotype,Time_(joint),HMDB0010393,LPC 20:3/0:0,,,,0.445074911052568,Main,,
HC genotype,Time_120,HMDB0011516,LPE 20:3/0:0,0.014961089663942,0.131750123317524,0.911002002766418,,Main,-0.243269152038405,0.273191331366289
HC genotype,Time_235,HMDB0011516,LPE 20:3/0:0,0.194546007219744,0.131750123317524,0.159185971139879,,Main,-0.0636842344826033,0.452776248922091
HC genotype,Time_(joint),HMDB0011516,LPE 20:3/0:0,,,,0.287122270153348,Main,,
HC genotype,Time_120,HMDB0011563,MG 15:0,-0.0138752215203352,0.0409325429614967,0.739034559687318,,Main,-0.0941030057248687,0.0663525626841982
HC genotype,Time_235,HMDB0011563,MG 15:0,-0.066841992601171,0.0409325429614967,0.121994531716195,,Main,-0.147069776805704,0.0133857916033625
HC genotype,Time_(joint),HMDB0011563,MG 15:0,,,,0.256037256841202,Main,,
HC genotype,Time_120,HMDB0029377,Piperine,-0.0406358429098811,0.10447231765983,0.70243129680442,,Main,-0.245401585523149,0.164129899703387
HC genotype,Time_235,HMDB0029377,Piperine,0.0247983588878474,0.10447231765983,0.81538417256939,,Main,-0.17996738372542,0.229564101501115
HC genotype,Time_(joint),HMDB0029377,Piperine,,,,0.820766477094133,Main,,
HC genotype,Time_120,HMDB0010403,LPC 22:5/0:0,-0.159013542345233,0.0607395256449271,0.0186475101832315,,Main,-0.27806301260929,-0.0399640720811762
HC genotype,Time_235,HMDB0010403,LPC 22:5/0:0,-0.0697846485151509,0.0607395256449271,0.267476719918383,,Main,-0.188834118779208,0.0492648217489061
HC genotype,Time_(joint),HMDB0010403,LPC 22:5/0:0,,,,0.057031859335284,Main,,
HC genotype,Time_120,HMDB0002815,LPC 18:1/0:0,-0.095433881732008,0.0380499981993407,0.0232905597429302,,Main,-0.170011878202716,-0.0208558852613001
HC genotype,Time_235,HMDB0002815,LPC 18:1/0:0,-0.122128249855466,0.0380499981993407,0.00546539327592256,,Main,-0.196706246326174,-0.0475502533847581
HC genotype,Time_(joint),HMDB0002815,LPC 18:1/0:0,,,,0.0135591994549583,Main,,
HC genotype,Time_120,HMDB0011568,MG 18:2,0.0746152408767201,0.0901947147986333,0.420252482892256,,Main,-0.102166400128601,0.251396881882041
HC genotype,Time_235,HMDB0011568,MG 18:2,0.034346289123739,0.0901947147986334,0.708359072960811,,Main,-0.142435351881582,0.21112793012906
HC genotype,Time_(joint),HMDB0011568,MG 18:2,,,,0.714794875276815,Main,,
HC genotype,Time_120,HMDB0011506,LPE 18:1/0:0,0.223207438914554,0.0538960492226842,0.000766956007778965,,Main,0.117571182438093,0.328843695391015
HC genotype,Time_235,HMDB0011506,LPE 18:1/0:0,0.3775245028736,0.0538960492226842,2.97141706396849e-06,,Main,0.271888246397139,0.483160759350061
HC genotype,Time_(joint),HMDB0011506,LPE 18:1/0:0,,,,1.25081416358356e-05,Main,,
HC genotype,Time_120,HMDB0000122,Hexose,0.07741597353242,0.0377231124667906,0.0568835762784672,,Main,0.00347867309751045,0.15135327396733
HC genotype,Time_235,HMDB0000122,Hexose,-0.00241112975643413,0.0377231124667906,0.949828440546091,,Main,-0.0763484301913436,0.0715261706784754
HC genotype,Time_(joint),HMDB0000122,Hexose,,,,0.0843292352213772,Main,,
HC genotype,Time_120,HMDB0012108,LPC 17:0/0:0,-0.0313134200206611,0.014359620410866,0.0444817039588644,,Main,-0.0594582760259584,-0.00316856401536375
HC genotype,Time_235,HMDB0012108,LPC 17:0/0:0,-0.0589245735800602,0.014359620410866,0.00083045342478168,,Main,-0.0870694295853575,-0.0307797175747629
HC genotype,Time_(joint),HMDB0012108,LPC 17:0/0:0,,,,0.00315889485371611,Main,,
HC genotype,Time_120,HMDB0010401,LPC 22:4/0:0,-0.143146123079254,0.0516247050010768,0.0135811668397338,,Main,-0.244330544881365,-0.0419617012771435
HC genotype,Time_235,HMDB0010401,LPC 22:4/0:0,-0.0670624770595082,0.0516247050010768,0.212339722054824,,Main,-0.168246898861619,0.0341219447426024
HC genotype,Time_(joint),HMDB0010401,LPC 22:4/0:0,,,,0.0431678668068557,Main,,
HC genotype,Time_120,HMDB0010407,LPC P-16:0/0:0,-0.091294035208119,0.0316681563867865,0.0108195072301619,,Main,-0.153363621726221,-0.0292244486900175
HC genotype,Time_235,HMDB0010407,LPC P-16:0/0:0,-0.128134214621519,0.0316681563867865,0.000936639083056,,Main,-0.19020380113962,-0.0660646281034173
HC genotype,Time_(joint),HMDB0010407,LPC P-16:0/0:0,,,,0.0028020181976222,Main,,
HC genotype,Time_120,HMDB0243890,LPC O-16:0,-0.0808893998911048,0.0321871008410358,0.0230580349563156,,Main,-0.143976117539535,-0.0178026822426745
HC genotype,Time_235,HMDB0243890,LPC O-16:0,-0.140842238547603,0.0321871008410359,0.000470361668204128,,Main,-0.203928956196033,-0.0777555208991728
HC genotype,Time_(joint),HMDB0243890,LPC O-16:0,,,,0.00178621653382475,Main,,
HC genotype,Time_120,HMDB0010392,LPC 20:2/0:0,-0.156217508537398,0.0586789203009559,0.0170381159213886,,Main,-0.271228192327272,-0.0412068247475249
HC genotype,Time_235,HMDB0010392,LPC 20:2/0:0,-0.138798322750401,0.0586789203009559,0.0309773612574661,,Main,-0.253809006540274,-0.0237876389605272
HC genotype,Time_(joint),HMDB0010392,LPC 20:2/0:0,,,,0.0329362167903314,Main,,
HC genotype,Time_120,HMDB0011564,MG 16:0,-0.0286466326330728,0.0188837839851994,0.142330300278251,,Main,-0.0656588492440636,0.00836558397791793
HC genotype,Time_235,HMDB0011564,MG 16:0,-0.0404768259016035,0.0188837839851994,0.0424179048549325,,Main,-0.0774890425125942,-0.00346460929061271
HC genotype,Time_(joint),HMDB0011564,MG 16:0,,,,0.109444593922754,Main,,
HC genotype,Time_120,HMDB0000063,Cortisol,0.015575759212228,0.0183331879033452,0.408084302674809,,Main,-0.0203572890783286,0.0515088075027847
HC genotype,Time_235,HMDB0000063,Cortisol,0.0340874149664382,0.0183331879033452,0.081470145726462,,Main,-0.00184563332411843,0.0700204632569949
HC genotype,Time_(joint),HMDB0000063,Cortisol,,,,0.208357224068187,Main,,
HC genotype,Time_120,HMDB0002802,Cortisone,-0.118393277183812,0.0636346794691256,0.0812935630925974,,Main,-0.243117248943298,0.00633069457567387
HC genotype,Time_235,HMDB0002802,Cortisone,0.0409436339305568,0.0636346794691256,0.529068447996635,,Main,-0.0837803378289293,0.165667605690043
HC genotype,Time_(joint),HMDB0002802,Cortisone,,,,0.0595737550595829,Main,,
HC genotype,Time_120,HMDB0013648,Palmitoleoyl-EA,0.0734362370216179,0.0423260460051165,0.10195602741798,,Main,-0.00952281314841044,0.156395287191646
HC genotype,Time_235,HMDB0013648,Palmitoleoyl-EA,0.0684699228546745,0.0423260460051165,0.125273815375713,,Main,-0.0144891273153539,0.151428973024703
HC genotype,Time_(joint),HMDB0013648,Palmitoleoyl-EA,,,,0.1847381052717,Main,,
HC genotype,Time_120,HMDB0011128,LPC 0:0/18:0,-0.0912328643094125,0.0269984621839611,0.00382446736552927,,Main,-0.144149850189976,-0.0383158784288487
HC genotype,Time_235,HMDB0011128,LPC 0:0/18:0,-0.13829867373979,0.0269984621839611,0.000102314439498464,,Main,-0.191215659620353,-0.0853816878592258
HC genotype,Time_(joint),HMDB0011128,LPC 0:0/18:0,,,,0.000358580086690696,Main,,
HC genotype,Time_120,HMDB0011129,LPE 0:0/18:0,0.237776613123308,0.106933704394968,0.040927375046344,,Main,0.02818655250917,0.447366673737446
HC genotype,Time_235,HMDB0011129,LPE 0:0/18:0,0.190009545175457,0.106933704394969,0.094599771057632,,Main,-0.0195805154386813,0.399599605789595
HC genotype,Time_(joint),HMDB0011129,LPE 0:0/18:0,,,,0.0928832787439435,Main,,
HC genotype,Time_120,HMDB0010408,LPC P-18:1/0:0,-0.180800472986455,0.0295977642905859,1.50976639403705e-05,,Main,-0.238812090996003,-0.122788854976906
HC genotype,Time_235,HMDB0010408,LPC P-18:1/0:0,-0.29125639124357,0.0295977642905859,3.4339934324596e-08,,Main,-0.349268009253118,-0.233244773234021
HC genotype,Time_(joint),HMDB0010408,LPC P-18:1/0:0,,,,1.43187776556972e-07,Main,,
HC genotype,Time_120,HMDB0000254,Succinic acid,0.170976075037112,0.0688166835813953,0.0244227746600331,,Main,0.0360953752175769,0.305856774856646
HC genotype,Time_235,HMDB0000254,Succinic acid,0.165814137512965,0.0688166835813953,0.02837708896515,,Main,0.03093343769343,0.300694837332499
HC genotype,Time_(joint),HMDB0000254,Succinic acid,,,,0.0391561056336605,Main,,
HC genotype,Time_120,HMDB0010384,LPC 18:0/0:0,-0.121426120978523,0.0246008387830309,0.000148977699448897,,Main,-0.169643764993264,-0.0732084769637827
HC genotype,Time_235,HMDB0010384,LPC 18:0/0:0,-0.172876204855154,0.0246008387830308,2.85626027869546e-06,,Main,-0.221093848869895,-0.124658560840414
HC genotype,Time_(joint),HMDB0010384,LPC 18:0/0:0,,,,9.30774213761694e-06,Main,,
HC genotype,Time_120,HMDB0011130,LPE 18:0/0:0,0.0782088673782945,0.0244807620558441,0.00564008753221295,,Main,0.03022657374884,0.126191161007749
HC genotype,Time_235,HMDB0011130,LPE 18:0/0:0,0.126394525875528,0.0244807620558441,9.4343188064431e-05,,Main,0.0784122322460736,0.174376819504983
HC genotype,Time_(joint),HMDB0011130,LPE 18:0/0:0,,,,0.000356831978099822,Main,,
HC genotype,Time_120,HMDB0011567,MG 18:1,-0.0399583486163056,0.0448139023412712,0.385793350822961,,Main,-0.127793597205197,0.0478768999725859
HC genotype,Time_235,HMDB0011567,MG 18:1,-0.0819570669514834,0.0448139023412712,0.086126385225572,,Main,-0.169792315540375,0.00587818163740816
HC genotype,Time_(joint),HMDB0011567,MG 18:1,,,,0.218954278387708,Main,,
HC genotype,Time_120,HMDB0072856,MG 17:0,-0.0445974253080944,0.0416505700656455,0.300168037022851,,Main,-0.12623254263676,0.0370376920205707
HC genotype,Time_235,HMDB0072856,MG 17:0,-0.0777326303409451,0.0416505700656455,0.0804370316239076,,Main,-0.15936774766961,0.00390248698772001
HC genotype,Time_(joint),HMDB0072856,MG 17:0,,,,0.204737810142934,Main,,
HC genotype,Time_120,HMDB0010391,LPC 20:1/0:0,-0.197849270324714,0.0245143155305218,4.94577583014943e-07,,Main,-0.245897328764537,-0.149801211884892
HC genotype,Time_235,HMDB0010391,LPC 20:1/0:0,-0.213438160097205,0.0245143155305218,1.8184446928957e-07,,Main,-0.261486218537028,-0.165390101657383
HC genotype,Time_(joint),HMDB0010391,LPC 20:1/0:0,,,,1.97016487196301e-07,Main,,
HC genotype,Time_120,HMDB0000045,AMP,-0.103992117643374,0.111003154276878,0.362767885694708,,Main,-0.321558300026054,0.113574064739307
HC genotype,Time_235,HMDB0000045,AMP,-0.102436283428482,0.111003154276878,0.369806918976369,,Main,-0.320002465811163,0.115129898954198
HC genotype,Time_(joint),HMDB0000045,AMP,,,,0.573117439366898,Main,,
HC genotype,Time_120,HMDB0011149,LPC O-18:0/0:0,-0.197418788933013,0.0429602201705852,0.000298586788779714,,Main,-0.28162082046736,-0.113216757398666
HC genotype,Time_235,HMDB0011149,LPC O-18:0/0:0,-0.179560894574381,0.0429602201705852,0.000707922724069085,,Main,-0.263762926108728,-0.0953588630400336
HC genotype,Time_(joint),HMDB0011149,LPC O-18:0/0:0,,,,0.000457310825980922,Main,,
HC genotype,Time_120,HMDB0011131,MG 18:0,-0.0358407444782106,0.0375131949813724,0.353580514602439,,Main,-0.109366606641701,0.0376851176852794
HC genotype,Time_235,HMDB0011131,MG 18:0,-0.0611719526666137,0.0375131949813724,0.122482919748987,,Main,-0.134697814830104,0.0123539094968763
HC genotype,Time_(joint),HMDB0011131,MG 18:0,,,,0.289044079126652,Main,,
HC genotype,Time_120,HMDB0000072,cis-Aconitic acid,-0.110332201509641,0.0530720652933636,0.0540713982913033,,Main,-0.214353449484634,-0.00631095353464838
HC genotype,Time_235,HMDB0000072,cis-Aconitic acid,-0.0233525209423085,0.0530720652933636,0.665812018130464,,Main,-0.127373768917301,0.0806687270326842
HC genotype,Time_(joint),HMDB0000072,cis-Aconitic acid,,,,0.122543034627145,Main,,
HC genotype,Time_120,HMDB0013250,N-Myristoylglycine,-0.235827693640461,0.3638362049907,0.523028473766773,,Main,-0.948946655422233,0.477291268141312
HC genotype,Time_235,HMDB0013250,N-Myristoylglycine,-0.391678606861805,0.3638362049907,0.292395595971575,,Main,-1.10479756864358,0.321440354919967
HC genotype,Time_(joint),HMDB0013250,N-Myristoylglycine,,,,0.56350632669757,Main,,
HC genotype,Time_120,HMDB0010390,LPC 20:0/0:0,-0.0506274165384958,0.0270432227475268,0.0795886245861006,,Main,-0.103632133123648,0.00237730004665671
HC genotype,Time_235,HMDB0010390,LPC 20:0/0:0,-0.0792765289221412,0.0270432227475268,0.00978020283766133,,Main,-0.132281245507294,-0.0262718123369887
HC genotype,Time_(joint),HMDB0010390,LPC 20:0/0:0,,,,0.0298831299914959,Main,,
HC genotype,Time_120,HMDB0010399,LPC 22:1/0:0,-0.0518354644185757,0.0342481038417122,0.149647555081672,,Main,-0.118961747948332,0.0152908191111803
HC genotype,Time_235,HMDB0010399,LPC 22:1/0:0,-0.106814593646676,0.0342481038417122,0.00661347715078678,,Main,-0.173940877176431,-0.0396883101169196
HC genotype,Time_(joint),HMDB0010399,LPC 22:1/0:0,,,,0.0223583413462672,Main,,
HC genotype,Time_120,HMDB0072839,MG 19:0,-0.00430576096138996,0.0347330436933755,0.902885207895374,,Main,-0.0723825266004059,0.063771004677626
HC genotype,Time_235,HMDB0072839,MG 19:0,-0.055945925414867,0.0347330436933755,0.126785388150652,,Main,-0.124022691053883,0.012130840224149
HC genotype,Time_(joint),HMDB0072839,MG 19:0,,,,0.23125780158187,Main,,
HC genotype,Time_120,HMDB0011572,MG 20:0,-0.0171878830877985,0.0317048230434326,0.595204846910999,,Main,-0.0793293362529264,0.0449535700773294
HC genotype,Time_235,HMDB0011572,MG 20:0,-0.0406614986007665,0.0317048230434326,0.217936418656577,,Main,-0.102802951765894,0.0214799545643614
HC genotype,Time_(joint),HMDB0011572,MG 20:0,,,,0.454406774650352,Main,,
HC genotype,Time_120,HMDB0000786,Oxypurinol,-0.527736519536803,0.0997027426341776,7.28252360512868e-05,,Main,-0.723153895099791,-0.332319143973815
HC genotype,Time_235,HMDB0000786,Oxypurinol,-0.710497827653748,0.0997027426341775,2.40392526753396e-06,,Main,-0.905915203216736,-0.51508045209076
HC genotype,Time_(joint),HMDB0000786,Oxypurinol,,,,6.82384422174396e-06,Main,,
HC genotype,Time_120,HMDB0010398,LPC 22:0/0:0,0.000925011168835588,0.0240443453091905,0.96978804564611,,Main,-0.0462019056371777,0.0480519279748489
HC genotype,Time_235,HMDB0010398,LPC 22:0/0:0,-0.014270062380216,0.0240443453091905,0.561150760553734,,Main,-0.0613969791862293,0.0328568544257973
HC genotype,Time_(joint),HMDB0010398,LPC 22:0/0:0,,,,0.781007987204703,Main,,
HC genotype,Time_120,HMDB0010406,LPC 24:1/0:0,0.0256729569585745,0.0289398441698796,0.388157728998602,,Main,-0.0310491376143895,0.0823950515315384
HC genotype,Time_235,HMDB0010406,LPC 24:1/0:0,-0.00161020292927904,0.0289398441698796,0.956317748660102,,Main,-0.058332297502243,0.0551118916436849
HC genotype,Time_(joint),HMDB0010406,LPC 24:1/0:0,,,,0.582217019438064,Main,,
HC genotype,Time_120,HMDB0012096,SM 30:1;O2,0.000753537686403781,0.020818509243921,0.97157416617292,,Main,-0.0400507404316814,0.041557815804489
HC genotype,Time_235,HMDB0012096,SM 30:1;O2,0.0273190745151797,0.020818509243921,0.207950798796928,,Main,-0.0134852036029055,0.0681233526332649
HC genotype,Time_(joint),HMDB0012096,SM 30:1;O2,,,,0.351419051001727,Main,,
HC genotype,Time_120,HMDB0000921,Cholestenone,0.0101130154310841,0.0136445772440092,0.469326949517844,,Main,-0.0166303559671739,0.0368563868293422
HC genotype,Time_235,HMDB0000921,Cholestenone,0.0480736674355843,0.0136445772440092,0.00282134800814034,,Main,0.0213302960373263,0.0748170388338424
HC genotype,Time_(joint),HMDB0000921,Cholestenone,,,,0.00690240167811503,Main,,
HC genotype,Time_120,HMDB0011581,MG 22:0,-0.0233755602696404,0.0450692853079463,0.611097914028408,,Main,-0.111711359473215,0.0649602389339344
HC genotype,Time_235,HMDB0011581,MG 22:0,-0.0341940779260281,0.0450692853079463,0.459063369867351,,Main,-0.122529877129603,0.0541417212775466
HC genotype,Time_(joint),HMDB0011581,MG 22:0,,,,0.744356274374126,Main,,
HC genotype,Time_120,HMDB0011527,LPE 24:0/0:0,0.0612965447925818,0.0557292240070465,0.287650067357689,,Main,-0.0479327342612294,0.170525823846393
HC genotype,Time_235,HMDB0011527,LPE 24:0/0:0,0.113247422139473,0.0557292240070465,0.0590897328614283,,Main,0.00401814308566138,0.222476701193284
HC genotype,Time_(joint),HMDB0011527,LPE 24:0/0:0,,,,0.158741151642267,Main,,
HC genotype,Time_120,HMDB0000067,Cholesterol,0.021798680789354,0.0258492016927969,0.411490088242906,,Main,-0.0288657545285279,0.0724631161072358
HC genotype,Time_235,HMDB0000067,Cholesterol,0.0618298307310686,0.0258492016927969,0.0293864919298459,,Main,0.0111653954131867,0.11249426604895
HC genotype,Time_(joint),HMDB0000067,Cholesterol,,,,0.0815518233611706,Main,,
HC genotype,Time_120,HMDB0029220,LPC 26:1/0:0,0.0168088609155601,0.0329751975854685,0.61719066535819,,Main,-0.0478225263519581,0.0814402481830784
HC genotype,Time_235,HMDB0029220,LPC 26:1/0:0,0.0540345476894794,0.0329751975854685,0.120799635063243,,Main,-0.0105968395780388,0.118665934956998
HC genotype,Time_(joint),HMDB0029220,LPC 26:1/0:0,,,,0.273720776655158,Main,,
