Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_HC Genotype_,0.0356920339884123,0.0441335289837747,0.433009443915904,,,Main,-0.0508096828197862,0.122193750796611,HMDB0003282,"0 (-0.1, 0.1)",0.433,0.433,,1-Methylguanine,primary
Genotype_HC Genotype_ x time120,-0.0172860578971415,0.0278684315022948,0.539761177813113,,,Interaction,-0.0719081836416393,0.0373360678473562,HMDB0003282,"0 (-0.1, 0)",0.54,0.54,,1-Methylguanine,primary
Genotype_HC Genotype_ x time235,0.00669606782880803,0.0278684315022948,0.811751954134495,,,Interaction,-0.0479260579156897,0.0613181935733058,HMDB0003282,"0 (0, 0.1)",0.812,0.812,,1-Methylguanine,primary
Genotype_(joint),,,,0.612473039724314,0.451992448806718,Main,,,HMDB0003282,"NA (NA, NA)",,,0.452,1-Methylguanine,primary
Genotype_ x time(joint),,,,0.394338118037373,0.677569064678524,Interaction,,,HMDB0003282,"NA (NA, NA)",,,0.678,1-Methylguanine,primary
Genotype_HC Genotype_,-0.730128708923843,0.33555032940923,0.0533966427790216,,,Main,-1.38780735456593,-0.072450063281752,HMDB0033724,"-0.7 (-1.4, -0.1)",0.053,0.053,,10-Hendecenoic acid,bmi
Genotype_HC Genotype_ x time120,0.140598660191201,0.158727164541571,0.382777053591807,,,Interaction,-0.170506582310279,0.451703902692681,HMDB0033724,"0.1 (-0.2, 0.5)",0.383,0.383,,10-Hendecenoic acid,bmi
Genotype_HC Genotype_ x time235,0.0710017607773178,0.158727164541571,0.657857538611354,,,Interaction,-0.240103481724162,0.382107003278798,HMDB0033724,"0.1 (-0.2, 0.4)",0.658,0.658,,10-Hendecenoic acid,bmi
Genotype_(joint),,,,4.1754599082623,0.0713723064686555,Main,,,HMDB0033724,"NA (NA, NA)",,,0.071,10-Hendecenoic acid,bmi
Genotype_ x time(joint),,,,0.392323484107031,0.678900545143865,Interaction,,,HMDB0033724,"NA (NA, NA)",,,0.679,10-Hendecenoic acid,bmi
Genotype_HC Genotype_,-0.734708037013724,0.34274913336608,0.0540588683843175,,,Main,-1.40649633841124,-0.0629197356162076,HMDB0033724,"-0.7 (-1.4, -0.1)",0.054,0.054,,10-Hendecenoic acid,primary
Genotype_HC Genotype_ x time120,0.140598660191192,0.15872716406196,0.382777052148554,,,Interaction,-0.17050658137025,0.451703901752634,HMDB0033724,"0.1 (-0.2, 0.5)",0.383,0.383,,10-Hendecenoic acid,primary
Genotype_HC Genotype_ x time235,0.0710017607773087,0.15872716406196,0.657857537635915,,,Interaction,-0.240103480784133,0.38210700233875,HMDB0033724,"0.1 (-0.2, 0.4)",0.658,0.658,,10-Hendecenoic acid,primary
Genotype_(joint),,,,4.04411856629616,0.0720544698378692,Main,,,HMDB0033724,"NA (NA, NA)",,,0.072,10-Hendecenoic acid,primary
Genotype_ x time(joint),,,,0.392323486477877,0.678900543563985,Interaction,,,HMDB0033724,"NA (NA, NA)",,,0.679,10-Hendecenoic acid,primary
Genotype_HC Genotype_,-0.513060745664303,0.267868824257364,0.0628024004532642,,,Main,-1.03808364120874,0.0119621498801291,HMDB0060038,"-0.5 (-1, 0)",0.063,0.063,,10Z-Heptadecenoic acid,bmi
Genotype_HC Genotype_ x time120,0.557148306749904,0.311235461786736,0.0812009987773473,,,Interaction,-0.0528731983520994,1.16716981185191,HMDB0060038,"0.6 (-0.1, 1.2)",0.081,0.081,,10Z-Heptadecenoic acid,bmi
Genotype_HC Genotype_ x time235,-0.151393886365218,0.311235461786736,0.629385559039992,,,Interaction,-0.761415391467221,0.458627618736785,HMDB0060038,"-0.2 (-0.8, 0.5)",0.629,0.629,,10Z-Heptadecenoic acid,bmi
Genotype_(joint),,,,3.61691458772163,0.0645999778269981,Main,,,HMDB0060038,"NA (NA, NA)",,,0.065,10Z-Heptadecenoic acid,bmi
Genotype_ x time(joint),,,,2.87460112928408,0.0684615195292937,Interaction,,,HMDB0060038,"NA (NA, NA)",,,0.068,10Z-Heptadecenoic acid,bmi
Genotype_HC Genotype_,-0.515978832153566,0.270077115446433,0.0667763543902704,,,Main,-1.04532997842857,0.0133723141214422,HMDB0060038,"-0.5 (-1, 0)",0.067,0.067,,10Z-Heptadecenoic acid,primary
Genotype_HC Genotype_ x time120,0.557148306749915,0.313181174215152,0.0853765985970082,,,Interaction,-0.0566867947117823,1.17098340821161,HMDB0060038,"0.6 (-0.1, 1.2)",0.085,0.085,,10Z-Heptadecenoic acid,primary
Genotype_HC Genotype_ x time235,-0.151393886365206,0.313181174215152,0.632316892911539,,,Interaction,-0.765228987826903,0.462441215096491,HMDB0060038,"-0.2 (-0.8, 0.5)",0.632,0.632,,10Z-Heptadecenoic acid,primary
Genotype_(joint),,,,3.60154880625997,0.0869487080486123,Main,,,HMDB0060038,"NA (NA, NA)",,,0.087,10Z-Heptadecenoic acid,primary
Genotype_ x time(joint),,,,2.83899379892378,0.074271466784196,Interaction,,,HMDB0060038,"NA (NA, NA)",,,0.074,10Z-Heptadecenoic acid,primary
Genotype_HC Genotype_,-0.0279860661219904,0.239431245915321,0.909245205740622,,,Main,-0.497271308116019,0.441299175872038,HMDB0000015,"0 (-0.5, 0.4)",0.909,0.909,,11-Deoxycortisol,bmi
Genotype_HC Genotype_ x time120,0.0764810660515978,0.0980692854393197,0.441578415096262,,,Interaction,-0.115734733409469,0.268696865512664,HMDB0000015,"0.1 (-0.1, 0.3)",0.442,0.442,,11-Deoxycortisol,bmi
Genotype_HC Genotype_ x time235,0.0897901837598807,0.0980692854393197,0.367189044518262,,,Interaction,-0.102425615701186,0.282005983220947,HMDB0000015,"0.1 (-0.1, 0.3)",0.367,0.367,,11-Deoxycortisol,bmi
Genotype_(joint),,,,0.0139099386797514,0.908705133699798,Main,,,HMDB0000015,"NA (NA, NA)",,,0.909,11-Deoxycortisol,bmi
Genotype_ x time(joint),,,,0.488298727432813,0.618462169282904,Interaction,,,HMDB0000015,"NA (NA, NA)",,,0.618,11-Deoxycortisol,bmi
Genotype_HC Genotype_,-0.030003475028624,0.234266771781861,0.900348328163062,,,Main,-0.489166347721072,0.429159397663824,HMDB0000015,"0 (-0.5, 0.4)",0.9,0.9,,11-Deoxycortisol,primary
Genotype_HC Genotype_ x time120,0.0764810660515955,0.0980692911596283,0.441578441848999,,,Interaction,-0.115734744621276,0.268696876724467,HMDB0000015,"0.1 (-0.1, 0.3)",0.442,0.442,,11-Deoxycortisol,primary
Genotype_HC Genotype_ x time235,0.089790183759877,0.0980692911596283,0.367189072540779,,,Interaction,-0.102425626912994,0.282005994432748,HMDB0000015,"0.1 (-0.1, 0.3)",0.367,0.367,,11-Deoxycortisol,primary
Genotype_(joint),,,,0.0125048740068116,0.913174782025014,Main,,,HMDB0000015,"NA (NA, NA)",,,0.913,11-Deoxycortisol,primary
Genotype_ x time(joint),,,,0.488298670468577,0.618462203698719,Interaction,,,HMDB0000015,"NA (NA, NA)",,,0.618,11-Deoxycortisol,primary
Genotype_HC Genotype_,-0.19027353018682,0.221515382348156,0.410427408685395,,,Main,-0.624443679589207,0.243896619215566,HMDB0304761,"-0.2 (-0.6, 0.2)",0.41,0.41,,11-Methyllauric acid,bmi
Genotype_HC Genotype_ x time120,0.0833803518411326,0.0883194486205749,0.35267206513919,,,Interaction,-0.0897257674551942,0.256486471137459,HMDB0304761,"0.1 (-0.1, 0.3)",0.353,0.353,,11-Methyllauric acid,bmi
Genotype_HC Genotype_ x time235,0.0308930843243429,0.0883194486205749,0.728941550497181,,,Interaction,-0.142213034971984,0.20399920362067,HMDB0304761,"0 (-0.1, 0.2)",0.729,0.729,,11-Methyllauric acid,bmi
Genotype_(joint),,,,0.498386046412087,0.498075741041548,Main,,,HMDB0304761,"NA (NA, NA)",,,0.498,11-Methyllauric acid,bmi
Genotype_ x time(joint),,,,0.455604049713989,0.63837980183421,Interaction,,,HMDB0304761,"NA (NA, NA)",,,0.638,11-Methyllauric acid,bmi
Genotype_HC Genotype_,-0.190924120452012,0.211484211974956,0.385550139184427,,,Main,-0.605433175922925,0.223584935018901,HMDB0304761,"-0.2 (-0.6, 0.2)",0.386,0.386,,11-Methyllauric acid,primary
Genotype_HC Genotype_ x time120,0.0833803518410969,0.0883194486388762,0.352672065239658,,,Interaction,-0.0897257674911004,0.256486471173294,HMDB0304761,"0.1 (-0.1, 0.3)",0.353,0.353,,11-Methyllauric acid,primary
Genotype_HC Genotype_ x time235,0.0308930843243006,0.0883194486388761,0.728941550551827,,,Interaction,-0.142213035007897,0.203999203656498,HMDB0304761,"0 (-0.1, 0.2)",0.729,0.729,,11-Methyllauric acid,primary
Genotype_(joint),,,,0.55448456697569,0.47362715266246,Main,,,HMDB0304761,"NA (NA, NA)",,,0.474,11-Methyllauric acid,primary
Genotype_ x time(joint),,,,0.455604049524835,0.638379801952526,Interaction,,,HMDB0304761,"NA (NA, NA)",,,0.638,11-Methyllauric acid,primary
Genotype_HC Genotype_,-0.0947633793853669,0.063702546521749,0.153189323512053,,,Main,-0.219620370567995,0.0300936117972612,HMDB0004705,"-0.1 (-0.2, 0)",0.153,0.153,,"12,13-DiHOME",bmi
Genotype_HC Genotype_ x time120,0.0542381421577267,0.064240927225593,0.405188562314465,,,Interaction,-0.0716740752044356,0.180150359519889,HMDB0004705,"0.1 (-0.1, 0.2)",0.405,0.405,,"12,13-DiHOME",bmi
Genotype_HC Genotype_ x time235,0.0168667595186962,0.064240927225593,0.794688445682247,,,Interaction,-0.109045457843466,0.142778976880858,HMDB0004705,"0 (-0.1, 0.1)",0.795,0.795,,"12,13-DiHOME",bmi
Genotype_(joint),,,,1.88256991441715,0.203268158133192,Main,,,HMDB0004705,"NA (NA, NA)",,,0.203,"12,13-DiHOME",bmi
Genotype_ x time(joint),,,,0.373394682355392,0.691547842631855,Interaction,,,HMDB0004705,"NA (NA, NA)",,,0.692,"12,13-DiHOME",bmi
Genotype_HC Genotype_,-0.0934298233895482,0.0713320306877,0.20677371900485,,,Main,-0.23324060353744,0.0463809567583438,HMDB0004705,"-0.1 (-0.2, 0)",0.207,0.207,,"12,13-DiHOME",primary
Genotype_HC Genotype_ x time120,0.0542381421577202,0.0642409270762745,0.405188561205565,,,Interaction,-0.0716740749117777,0.180150359227218,HMDB0004705,"0.1 (-0.1, 0.2)",0.405,0.405,,"12,13-DiHOME",primary
Genotype_HC Genotype_ x time235,0.0168667595186895,0.0642409270762745,0.794688445208358,,,Interaction,-0.109045457550809,0.142778976588187,HMDB0004705,"0 (-0.1, 0.1)",0.795,0.795,,"12,13-DiHOME",primary
Genotype_(joint),,,,1.3095906410585,0.2791211580769,Main,,,HMDB0004705,"NA (NA, NA)",,,0.279,"12,13-DiHOME",primary
Genotype_ x time(joint),,,,0.37339468409112,0.691547841446599,Interaction,,,HMDB0004705,"NA (NA, NA)",,,0.692,"12,13-DiHOME",primary
Genotype_HC Genotype_,-0.29158676114801,0.441260627053092,0.523087298757174,,,Main,-1.15645759017207,0.57328406787605,HMDB0006111,"-0.3 (-1.2, 0.6)",0.523,0.523,,12-HETE,bmi
Genotype_HC Genotype_ x time120,-0.402178449308339,0.203891339523413,0.0578297316677926,,,Interaction,-0.801805474774229,-0.00255142384244905,HMDB0006111,"-0.4 (-0.8, 0)",0.058,0.058,,12-HETE,bmi
Genotype_HC Genotype_ x time235,-0.223342931832767,0.203891339523413,0.282057111054872,,,Interaction,-0.622969957298658,0.176284093633123,HMDB0006111,"-0.2 (-0.6, 0.2)",0.282,0.282,,12-HETE,bmi
Genotype_(joint),,,,1.38285175024645,0.269784041422054,Main,,,HMDB0006111,"NA (NA, NA)",,,0.27,12-HETE,bmi
Genotype_ x time(joint),,,,1.9533467845514,0.159417941925803,Interaction,,,HMDB0006111,"NA (NA, NA)",,,0.159,12-HETE,bmi
Genotype_HC Genotype_,-0.288635406024693,0.427743908216977,0.512948038609188,,,Main,-1.12701346612997,0.549742654080582,HMDB0006111,"-0.3 (-1.1, 0.5)",0.513,0.513,,12-HETE,primary
Genotype_HC Genotype_ x time120,-0.402178449308365,0.203891348048993,0.0578297419588349,,,Interaction,-0.801805491484391,-0.0025514071323387,HMDB0006111,"-0.4 (-0.8, 0)",0.058,0.058,,12-HETE,primary
Genotype_HC Genotype_ x time235,-0.223342931832801,0.203891348048993,0.282057131188316,,,Interaction,-0.622969974008827,0.176284110343225,HMDB0006111,"-0.2 (-0.6, 0.2)",0.282,0.282,,12-HETE,primary
Genotype_(joint),,,,1.46149932203657,0.254499288794567,Main,,,HMDB0006111,"NA (NA, NA)",,,0.254,12-HETE,primary
Genotype_ x time(joint),,,,1.95334662119591,0.159417965761926,Interaction,,,HMDB0006111,"NA (NA, NA)",,,0.159,12-HETE,primary
Genotype_HC Genotype_,-0.262578230434484,0.201490891222033,0.206971143207821,,,Main,-0.657500377229669,0.132343916360701,HMDB0004667,"-0.3 (-0.7, 0.1)",0.207,0.207,,13-HODE,bmi
Genotype_HC Genotype_ x time120,0.00534109238351472,0.21191738214195,0.980059428083129,,,Interaction,-0.410016976614707,0.420699161381736,HMDB0004667,"0 (-0.4, 0.4)",0.98,0.98,,13-HODE,bmi
Genotype_HC Genotype_ x time235,-0.0695601862745329,0.21191738214195,0.745008789092012,,,Interaction,-0.484918255272755,0.345797882723689,HMDB0004667,"-0.1 (-0.5, 0.3)",0.745,0.745,,13-HODE,bmi
Genotype_(joint),,,,3.14672830898469,0.109828339048101,Main,,,HMDB0004667,"NA (NA, NA)",,,0.11,13-HODE,bmi
Genotype_ x time(joint),,,,0.0777672903503867,0.925365584841346,Interaction,,,HMDB0004667,"NA (NA, NA)",,,0.925,13-HODE,bmi
Genotype_HC Genotype_,-0.25944631802024,0.212594280114897,0.236061742390823,,,Main,-0.676131107045438,0.157238471004958,HMDB0004667,"-0.3 (-0.7, 0.2)",0.236,0.236,,13-HODE,primary
Genotype_HC Genotype_ x time120,0.00534109238353023,0.211917379754651,0.980059427851969,,,Interaction,-0.410016971935585,0.420699156702646,HMDB0004667,"0 (-0.4, 0.4)",0.98,0.98,,13-HODE,primary
Genotype_HC Genotype_ x time235,-0.0695601862745141,0.211917379754651,0.74500878623571,,,Interaction,-0.48491825059363,0.345797878044602,HMDB0004667,"-0.1 (-0.5, 0.3)",0.745,0.745,,13-HODE,primary
Genotype_(joint),,,,2.60955738474861,0.137294570725548,Main,,,HMDB0004667,"NA (NA, NA)",,,0.137,13-HODE,primary
Genotype_ x time(joint),,,,0.0777672921024984,0.925365583221108,Interaction,,,HMDB0004667,"NA (NA, NA)",,,0.925,13-HODE,primary
Genotype_HC Genotype_,-0.522317354679075,0.42346269248765,0.232336977930543,,,Main,-1.35230423195487,0.307669522596719,HMDB0003876,"-0.5 (-1.4, 0.3)",0.232,0.232,,15-HETE,bmi
Genotype_HC Genotype_ x time120,0.38284791991685,0.427834482403463,0.377990702181864,,,Interaction,-0.455707665593936,1.22140350542764,HMDB0003876,"0.4 (-0.5, 1.2)",0.378,0.378,,15-HETE,bmi
Genotype_HC Genotype_ x time235,-0.0223137378648672,0.427834482403463,0.958750874883955,,,Interaction,-0.860869323375654,0.816241847645919,HMDB0003876,"0 (-0.9, 0.8)",0.959,0.959,,15-HETE,bmi
Genotype_(joint),,,,1.36692380095626,0.272373418370275,Main,,,HMDB0003876,"NA (NA, NA)",,,0.272,15-HETE,bmi
Genotype_ x time(joint),,,,0.566765762592517,0.573314634953021,Interaction,,,HMDB0003876,"NA (NA, NA)",,,0.573,15-HETE,bmi
Genotype_HC Genotype_,-0.5234369482061,0.410354593369339,0.2152911836727,,,Main,-1.32773195121,0.280858054797803,HMDB0003876,"-0.5 (-1.3, 0.3)",0.215,0.215,,15-HETE,primary
Genotype_HC Genotype_ x time120,0.382847919916895,0.427834482771956,0.377990702609731,,,Interaction,-0.455707666316139,1.22140350614993,HMDB0003876,"0.4 (-0.5, 1.2)",0.378,0.378,,15-HETE,primary
Genotype_HC Genotype_ x time235,-0.0223137378648201,0.427834482771956,0.958750874920624,,,Interaction,-0.860869324097854,0.816241848368214,HMDB0003876,"0 (-0.9, 0.8)",0.959,0.959,,15-HETE,primary
Genotype_(joint),,,,1.51445912208274,0.246621111150635,Main,,,HMDB0003876,"NA (NA, NA)",,,0.247,15-HETE,primary
Genotype_ x time(joint),,,,0.566765761616263,0.573314635510731,Interaction,,,HMDB0003876,"NA (NA, NA)",,,0.573,15-HETE,primary
Genotype_HC Genotype_,0.000967365733759314,0.0309468706596723,0.975222479009017,,,Main,-0.0596885007591984,0.061623232226717,HMDB0094649,"0 (-0.1, 0.1)",0.975,0.975,,2-Aminoheptanoic acid,bmi
Genotype_HC Genotype_ x time120,0.00653575424362365,0.0359570159286751,0.856708012547342,,,Interaction,-0.0639399969765796,0.0770115054638269,HMDB0094649,"0 (-0.1, 0.1)",0.857,0.857,,2-Aminoheptanoic acid,bmi
Genotype_HC Genotype_ x time235,-0.00172495229044789,0.0359570159286751,0.961982894127671,,,Interaction,-0.0722007035106511,0.0687507989297553,HMDB0094649,"0 (-0.1, 0.1)",0.962,0.962,,2-Aminoheptanoic acid,bmi
Genotype_(joint),,,,0.0125486383576267,0.911381574977875,Main,,,HMDB0094649,"NA (NA, NA)",,,0.911,2-Aminoheptanoic acid,bmi
Genotype_ x time(joint),,,,0.0293732951827467,0.971075368206128,Interaction,,,HMDB0094649,"NA (NA, NA)",,,0.971,2-Aminoheptanoic acid,bmi
Genotype_HC Genotype_,0.000190591932727007,0.0366136771753616,0.995897521306252,,,Main,-0.0715722153309817,0.0719533991964358,HMDB0094649,"0 (-0.1, 0.1)",0.996,0.996,,2-Aminoheptanoic acid,primary
Genotype_HC Genotype_ x time120,0.00653575424364167,0.0360363862478783,0.857300584309335,,,Interaction,-0.0640955628021999,0.0771670712894832,HMDB0094649,"0 (-0.1, 0.1)",0.857,0.857,,2-Aminoheptanoic acid,primary
Genotype_HC Genotype_ x time235,-0.00172495229043237,0.0360363862478783,0.962139519497189,,,Interaction,-0.0723562693362739,0.0689063647554091,HMDB0094649,"0 (-0.1, 0.1)",0.962,0.962,,2-Aminoheptanoic acid,primary
Genotype_(joint),,,,0.00354651346190923,0.953685271958437,Main,,,HMDB0094649,"NA (NA, NA)",,,0.954,2-Aminoheptanoic acid,primary
Genotype_ x time(joint),,,,0.029244048017225,0.971207071145348,Interaction,,,HMDB0094649,"NA (NA, NA)",,,0.971,2-Aminoheptanoic acid,primary
Genotype_HC Genotype_,-0.594429480372808,0.436922734081038,0.206167208661309,,,Main,-1.45079803917164,0.261939078426026,HMDB0000991,"-0.6 (-1.5, 0.3)",0.206,0.206,,2-Aminooctanoic acid,bmi
Genotype_HC Genotype_ x time120,0.00534723074027292,0.0734937492206455,0.942481923225706,,,Interaction,-0.138700517732192,0.149394979212738,HMDB0000991,"0 (-0.1, 0.1)",0.942,0.942,,2-Aminooctanoic acid,bmi
Genotype_HC Genotype_ x time235,-0.132484300159516,0.0734937492206455,0.0814965237612937,,,Interaction,-0.276532048631982,0.0115634483129487,HMDB0000991,"-0.1 (-0.3, 0)",0.081,0.081,,2-Aminooctanoic acid,bmi
Genotype_(joint),,,,2.1444889053206,0.177119104659731,Main,,,HMDB0000991,"NA (NA, NA)",,,0.177,2-Aminooctanoic acid,bmi
Genotype_ x time(joint),,,,2.25735794836193,0.122110856423247,Interaction,,,HMDB0000991,"NA (NA, NA)",,,0.122,2-Aminooctanoic acid,bmi
Genotype_HC Genotype_,-0.594119969697675,0.414774682816998,0.181922426014066,,,Main,-1.40707834801899,0.218838408623642,HMDB0000991,"-0.6 (-1.4, 0.2)",0.182,0.182,,2-Aminooctanoic acid,primary
Genotype_HC Genotype_ x time120,0.005347230740323,0.0734937491503786,0.942481923170116,,,Interaction,-0.138700517594419,0.149394979075065,HMDB0000991,"0 (-0.1, 0.1)",0.942,0.942,,2-Aminooctanoic acid,primary
Genotype_HC Genotype_ x time235,-0.13248430015946,0.0734937491503786,0.0814965234814761,,,Interaction,-0.276532048494202,0.011563448175282,HMDB0000991,"-0.1 (-0.3, 0)",0.081,0.081,,2-Aminooctanoic acid,primary
Genotype_(joint),,,,2.3797972790951,0.15394221829285,Main,,,HMDB0000991,"NA (NA, NA)",,,0.154,2-Aminooctanoic acid,primary
Genotype_ x time(joint),,,,2.25735795267742,0.122110855959063,Interaction,,,HMDB0000991,"NA (NA, NA)",,,0.122,2-Aminooctanoic acid,primary
Genotype_HC Genotype_,-0.802248283720635,0.622977875647998,0.210383072240666,,,Main,-2.02328491999071,0.41878835254944,HMDB0000439,"-0.8 (-2, 0.4)",0.21,0.21,,2-Furoylglycine,bmi
Genotype_HC Genotype_ x time120,0.646943601336025,0.704644618078624,0.36588243944954,,,Interaction,-0.734159850098079,2.02804705277013,HMDB0000439,"0.6 (-0.7, 2)",0.366,0.366,,2-Furoylglycine,bmi
Genotype_HC Genotype_ x time235,0.61430238997485,0.704644618078624,0.390246538387883,,,Interaction,-0.766801061459253,1.99540584140895,HMDB0000439,"0.6 (-0.8, 2)",0.39,0.39,,2-Furoylglycine,bmi
Genotype_(joint),,,,0.654989872099605,0.439205593194215,Main,,,HMDB0000439,"NA (NA, NA)",,,0.439,2-Furoylglycine,bmi
Genotype_ x time(joint),,,,0.535032101614098,0.59113484841704,Interaction,,,HMDB0000439,"NA (NA, NA)",,,0.591,2-Furoylglycine,bmi
Genotype_HC Genotype_,-0.800921527659724,0.606188412180184,0.193929033994133,,,Main,-1.98905081553288,0.387207760213437,HMDB0000439,"-0.8 (-2, 0.4)",0.194,0.194,,2-Furoylglycine,primary
Genotype_HC Genotype_ x time120,0.646943601336039,0.704353835817926,0.363866746787721,,,Interaction,-0.733589916867097,2.02747711953917,HMDB0000439,"0.6 (-0.7, 2)",0.364,0.364,,2-Furoylglycine,primary
Genotype_HC Genotype_ x time235,0.614302389974862,0.704353835817926,0.388331600266625,,,Interaction,-0.766231128228274,1.994835908178,HMDB0000439,"0.6 (-0.8, 2)",0.388,0.388,,2-Furoylglycine,primary
Genotype_(joint),,,,0.716427756628319,0.40235370087784,Main,,,HMDB0000439,"NA (NA, NA)",,,0.402,2-Furoylglycine,primary
Genotype_ x time(joint),,,,0.535473953280621,0.589529170303607,Interaction,,,HMDB0000439,"NA (NA, NA)",,,0.59,2-Furoylglycine,primary
Genotype_HC Genotype_,-0.243191644825175,0.097761117459621,0.0234135113536694,,,Main,-0.434803435046032,-0.0515798546043179,HMDB0031057,"-0.2 (-0.4, -0.1)",0.023,0.023*,,2-Hydroxy palmitic acid,bmi
