meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC meal,HC Genotype x Time_(joint),HMDB0011149,LPC O-18:0/0:0,,,,0.0334918677407659,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011131,MG 18:0,-0.0578959716095213,0.0520366537391474,0.302623793110085,,Interaction,-0.15988781293825,0.0440958697192076
HC meal,HC Genotype x Time_(joint),HMDB0011131,MG 18:0,,,,0.302623793110085,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000072,cis-Aconitic acid,0.225937369700077,0.105961938773247,0.0704357615158237,,Interaction,0.0182519697045143,0.433622769695641
HC meal,HC Genotype x Time_(joint),HMDB0000072,cis-Aconitic acid,,,,0.0704357615158237,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0013250,N-Myristoylglycine,0.992060119565442,0.421489105990573,0.0508098695591688,,Interaction,0.165941471823919,1.81817876730697
HC meal,HC Genotype x Time_(joint),HMDB0013250,N-Myristoylglycine,,,,0.0508098695591688,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010390,LPC 20:0/0:0,-0.0871496362635292,0.0281569967456468,0.017440942251119,,Interaction,-0.142337349884997,-0.0319619226420614
HC meal,HC Genotype x Time_(joint),HMDB0010390,LPC 20:0/0:0,,,,0.017440942251119,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010399,LPC 22:1/0:0,-0.0206321404187001,0.0267931028881211,0.466455418403088,,Interaction,-0.0731466220794176,0.0318823412420173
HC meal,HC Genotype x Time_(joint),HMDB0010399,LPC 22:1/0:0,,,,0.466455418403088,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0072839,MG 19:0,-0.0658189243183905,0.0505652888394073,0.234229514067769,,Interaction,-0.164926890443629,0.0332890418068478
HC meal,HC Genotype x Time_(joint),HMDB0072839,MG 19:0,,,,0.234229514067769,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011572,MG 20:0,-0.0561138099666309,0.0432624253518338,0.235723758530157,,Interaction,-0.140908163656225,0.0286805437229635
HC meal,HC Genotype x Time_(joint),HMDB0011572,MG 20:0,,,,0.235723758530157,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000786,Oxypurinol,0.1723848416294,0.178201324890184,0.365589741265854,,Interaction,-0.17688975515536,0.521659438414161
HC meal,HC Genotype x Time_(joint),HMDB0000786,Oxypurinol,,,,0.365589741265854,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010398,LPC 22:0/0:0,-0.1050226847783,0.0366078942131553,0.0240313665808218,,Interaction,-0.176774157436084,-0.0332712121205151
HC meal,HC Genotype x Time_(joint),HMDB0010398,LPC 22:0/0:0,,,,0.0240313665808218,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010406,LPC 24:1/0:0,-0.0609334829969136,0.0575706722393663,0.32501831658775,,Interaction,-0.173772000586071,0.0519050345922443
HC meal,HC Genotype x Time_(joint),HMDB0010406,LPC 24:1/0:0,,,,0.32501831658775,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0012096,SM 30:1;O2,-0.0334510344367338,0.0390952803291474,0.420522799089702,,Interaction,-0.110077783881863,0.0431757150083951
HC meal,HC Genotype x Time_(joint),HMDB0012096,SM 30:1;O2,,,,0.420522799089702,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000921,Cholestenone,-0.0537137484147706,0.0320735435208433,0.137902470007912,,Interaction,-0.116577893715623,0.00915039688608218
HC meal,HC Genotype x Time_(joint),HMDB0000921,Cholestenone,,,,0.137902470007912,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011581,MG 22:0,-0.274927612484448,0.133844760753519,0.0790530938568151,,Interaction,-0.537263343561345,-0.01259188140755
HC meal,HC Genotype x Time_(joint),HMDB0011581,MG 22:0,,,,0.0790530938568151,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011527,LPE 24:0/0:0,0.063627634270943,0.100302096323742,0.546010487603181,,Interaction,-0.132964474523592,0.260219743065478
HC meal,HC Genotype x Time_(joint),HMDB0011527,LPE 24:0/0:0,,,,0.546010487603181,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000067,Cholesterol,-0.0327824904978645,0.0522621993751028,0.550386708045471,,Interaction,-0.135216401273066,0.069651420277337
HC meal,HC Genotype x Time_(joint),HMDB0000067,Cholesterol,,,,0.550386708045471,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0029220,LPC 26:1/0:0,-0.0429247620287308,0.0563138560479314,0.470814468187646,,Interaction,-0.153299919882676,0.0674503958252148
HC meal,HC Genotype x Time_(joint),HMDB0029220,LPC 26:1/0:0,,,,0.470814468187646,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007903,PC 30:2,0.0411833394543407,0.0922513513980294,0.668773420464388,,Interaction,-0.139629309285797,0.221995988194478
HC meal,HC Genotype x Time_(joint),HMDB0007903,PC 30:2,,,,0.668773420464388,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0240677,SM 33:2;O2_A,-0.0380799939466215,0.0307299593678156,0.255212308058554,,Interaction,-0.0983107143075401,0.0221507264142971
HC meal,HC Genotype x Time_(joint),HMDB0240677,SM 33:2;O2_A,,,,0.255212308058554,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007866,PC 28:0,-0.0555244446004145,0.0899523812885557,0.556597626124181,,Interaction,-0.231831111925984,0.120782222725155
HC meal,HC Genotype x Time_(joint),HMDB0007866,PC 28:0,,,,0.556597626124181,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007875,PC 32:3,-0.0794885532093048,0.106561991099967,0.479999953959541,,Interaction,-0.28835005576524,0.12937294934663
HC meal,HC Genotype x Time_(joint),HMDB0007875,PC 32:3,,,,0.479999953959541,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0001492,gamma-Tocopherol,-0.127578126204706,0.100518787117327,0.244939214079421,,Interaction,-0.324594948954666,0.0694386965452549
HC meal,HC Genotype x Time_(joint),HMDB0001492,gamma-Tocopherol,,,,0.244939214079421,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011588,MG 24:0,-0.128684104389168,0.0909262055409248,0.199905770727286,,Interaction,-0.306899467249381,0.0495312584710441
HC meal,HC Genotype x Time_(joint),HMDB0011588,MG 24:0,,,,0.199905770727286,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0012097,SM 32:1;O2,-0.0427587577576497,0.0332469544995695,0.239313117171762,,Interaction,-0.107922788576806,0.0224052730615065
HC meal,HC Genotype x Time_(joint),HMDB0012097,SM 32:1;O2,,,,0.239313117171762,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007916,PC 34:5,-0.0741624310846611,0.0851823295450276,0.412814260566268,,Interaction,-0.241119796992915,0.0927949348235929
HC meal,HC Genotype x Time_(joint),HMDB0007916,PC 34:5,,,,0.412814260566268,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007870,PC 30:1,0.0157400953508166,0.0646235121626739,0.814550868204035,,Interaction,-0.110921988488024,0.142402179189657
HC meal,HC Genotype x Time_(joint),HMDB0007870,PC 30:1,,,,0.814550868204035,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0240613,SM 34:2;O2,-0.0282401886236939,0.0243410701665893,0.284008314100736,,Interaction,-0.075948686150209,0.0194683089028212
HC meal,HC Genotype x Time_(joint),HMDB0240613,SM 34:2;O2,,,,0.284008314100736,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0012085,SM 32:0;O2,-0.00730859490816088,0.0184150668660029,0.703277010863817,,Interaction,-0.0434021259655265,0.0287849361492047
HC meal,HC Genotype x Time_(joint),HMDB0012085,SM 32:0;O2,,,,0.703277010863817,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0001893,alpha-Tocopherol,-0.0300278460289738,0.0340718498407589,0.407390843309388,,Interaction,-0.0968086717168612,0.0367529796589137
HC meal,HC Genotype x Time_(joint),HMDB0001893,alpha-Tocopherol,,,,0.407390843309388,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007932,PC 29:0,0.103455593804731,0.0701648666479423,0.183854585233263,,Interaction,-0.0340675448252357,0.240978732434698
HC meal,HC Genotype x Time_(joint),HMDB0007932,PC 29:0,,,,0.183854585233263,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000094,Citric and,0.0617782366482157,0.0694906859639864,0.403509793123979,,Interaction,-0.0744235078411976,0.197979981137629
HC meal,HC Genotype x Time_(joint),HMDB0000094,Citric and,,,,0.403509793123979,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0029205,LPC 26:0/0:0,-0.0904822338100631,0.0441401567237566,0.0795439233910464,,Interaction,-0.176996940988626,-0.00396752663150007
HC meal,HC Genotype x Time_(joint),HMDB0029205,LPC 26:0/0:0,,,,0.0795439233910464,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0006750,Hex2Cer 34:1;O2,-0.017356920772734,0.0225486030864151,0.466621317064065,,Interaction,-0.0615521828221077,0.0268383412766396
HC meal,HC Genotype x Time_(joint),HMDB0006750,Hex2Cer 34:1;O2,,,,0.466621317064065,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007883,PC 34:4,-0.0295189361434093,0.0565221538022917,0.617608063842355,,Interaction,-0.140302357595901,0.0812644853090826
HC meal,HC Genotype x Time_(joint),HMDB0007883,PC 34:4,,,,0.617608063842355,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007041,DG 30:2,-0.198177235526465,0.326826997955302,0.563410184112016,,Interaction,-0.838758151518856,0.442403680465926
HC meal,HC Genotype x Time_(joint),HMDB0007041,DG 30:2,,,,0.563410184112016,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0004971,HexCer 34:1;O2,1.71459259467689e-05,0.0522281357625904,0.999747223036632,,Interaction,-0.10235000016873,0.102384292020624
HC meal,HC Genotype x Time_(joint),HMDB0004971,HexCer 34:1;O2,,,,0.999747223036632,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007936,PC 31:1,0.043002699349826,0.0580283284936605,0.482768590891175,,Interaction,-0.0707328244977486,0.156738223197401
HC meal,HC Genotype x Time_(joint),HMDB0007936,PC 31:1,,,,0.482768590891175,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0008511,PC 40:10,-0.022160017642043,0.0384892232467822,0.582817343070592,,Interaction,-0.0975988952057361,0.0532788599216501
HC meal,HC Genotype x Time_(joint),HMDB0008511,PC 40:10,,,,0.582817343070592,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007869,PC 30:0,-0.000409872355948085,0.0613293187988701,0.994854141096646,,Interaction,-0.120615337201734,0.119795592489837
HC meal,HC Genotype x Time_(joint),HMDB0007869,PC 30:0,,,,0.994854141096646,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0008006,PC 34:3,-0.0113070817862621,0.0484675655511276,0.822210056570549,,Interaction,-0.106303510266472,0.0836893466939479
HC meal,HC Genotype x Time_(joint),HMDB0008006,PC 34:3,,,,0.822210056570549,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007940,PC 33:2,-0.0190915850350209,0.0604030393393989,0.76116536043244,,Interaction,-0.137481542140243,0.099298372070201
HC meal,HC Genotype x Time_(joint),HMDB0007940,PC 33:2,,,,0.76116536043244,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0002329,Oxalic acid,-0.296869137855504,0.193180978989201,0.168238942361411,,Interaction,-0.675503856674338,0.0817655809633305
HC meal,HC Genotype x Time_(joint),HMDB0002329,Oxalic acid,,,,0.168238942361411,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0008428,PC 35:4,-0.0480577468792938,0.0559221190955687,0.418591181555897,,Interaction,-0.157665100306608,0.0615496065480209
HC meal,HC Genotype x Time_(joint),HMDB0008428,PC 35:4,,,,0.418591181555897,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007983,PC 36:4_A,-0.0755543647334253,0.0675752124730475,0.300431143222303,,Interaction,-0.208001781180598,0.0568930517137477
HC meal,HC Genotype x Time_(joint),HMDB0007983,PC 36:4_A,,,,0.300431143222303,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0007873,PC 32:1,0.00827902365228119,0.063370375325121,0.899731419614785,,Interaction,-0.115926911984956,0.132484959289518
HC meal,HC Genotype x Time_(joint),HMDB0007873,PC 32:1,,,,0.899731419614785,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011745,N-Acetylmethionine,0.0736073485584772,0.0594013808003781,0.25522249528905,,Interaction,-0.0428193578102639,0.190034054927218
HC meal,HC Genotype x Time_(joint),HMDB0011745,N-Acetylmethionine,,,,0.25522249528905,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000402,2-Isopropylmalic acid,0.157984020104839,0.0406538970014158,0.00600573227363779,,Interaction,0.0783023819820643,0.237665658227614
HC meal,HC Genotype x Time_(joint),HMDB0000402,2-Isopropylmalic acid,,,,0.00600573227363779,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0004949,Cer 34:1;O2,-0.0176586188274932,0.0696660453093923,0.807184444243816,,Interaction,-0.154204067633902,0.118886829978916
HC meal,HC Genotype x Time_(joint),HMDB0004949,Cer 34:1;O2,,,,0.807184444243816,Interaction,,
