genotype,meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,HC meal,Time_(joint),HMDB0011507,LPE 18:2/0:0,,,,0.00564347135173003,Main,,
HC genotype,HC meal,Time_360,HMDB0011526,LPE 22:6/0:0,0.285287281797498,0.0430213340327839,0.00698580349591265,,Main,0.200965467093241,0.369609096501754
HC genotype,HC meal,Time_(joint),HMDB0011526,LPE 22:6/0:0,,,,0.00698580349591265,Main,,
HC genotype,HC meal,Time_360,HMDB0010395,LPC 20:4/0:0,0.12135404699557,0.0266627904570658,0.0198731943866515,,Main,0.0690949776997215,0.173613116291419
HC genotype,HC meal,Time_(joint),HMDB0010395,LPC 20:4/0:0,,,,0.0198731943866515,Main,,
HC genotype,HC meal,Time_360,HMDB0011517,LPE 20:4/0:0,0.523918276083151,0.0509566475513495,0.0019619465725941,,Main,0.424043246882506,0.623793305283796
HC genotype,HC meal,Time_(joint),HMDB0011517,LPE 20:4/0:0,,,,0.0019619465725941,Main,,
HC genotype,HC meal,Time_360,HMDB0011473,LPE 0:0/16:0,0.333138553156367,0.0221413566224505,0.000637301908788257,,Main,0.289741494176364,0.37653561213637
HC genotype,HC meal,Time_(joint),HMDB0011473,LPE 0:0/16:0,,,,0.000637301908788257,Main,,
HC genotype,HC meal,Time_360,HMDB0010382,LPC 16:0/0:0,-0.0139696455651324,0.0249002976095513,0.613957765609827,,Main,-0.0627742288798529,0.0348349377495882
HC genotype,HC meal,Time_(joint),HMDB0010382,LPC 16:0/0:0,,,,0.613957765609827,Main,,
HC genotype,HC meal,Time_360,HMDB0001855,5-Hydroxytryptophol,-0.0584336372896175,0.0883485677911116,0.532917581473479,,Main,-0.231596830160196,0.114729555580961
HC genotype,HC meal,Time_(joint),HMDB0001855,5-Hydroxytryptophol,,,,0.532917581473479,Main,,
HC genotype,HC meal,Time_360,HMDB0011503,LPE 16:0/0:0,0.210650851286197,0.0217610877432603,0.00234091038105761,,Main,0.167999119309406,0.253302583262987
HC genotype,HC meal,Time_(joint),HMDB0011503,LPE 16:0/0:0,,,,0.00234091038105761,Main,,
HC genotype,HC meal,Time_360,HMDB0034146,Stearamide,-0.0411462164045702,0.145121972567739,0.786300828152993,,Main,-0.325585282637339,0.243292849828199
HC genotype,HC meal,Time_(joint),HMDB0034146,Stearamide,,,,0.786300828152993,Main,,
HC genotype,HC meal,Time_360,HMDB0010393,LPC 20:3/0:0,0.213270517892393,0.0373885281718135,0.0106859757928585,,Main,0.139989002675639,0.286552033109148
HC genotype,HC meal,Time_(joint),HMDB0010393,LPC 20:3/0:0,,,,0.0106859757928585,Main,,
HC genotype,HC meal,Time_360,HMDB0011516,LPE 20:3/0:0,0.583034475977258,0.0370763562113273,0.00055897515048991,,Main,0.510364817803056,0.655704134151459
HC genotype,HC meal,Time_(joint),HMDB0011516,LPE 20:3/0:0,,,,0.00055897515048991,Main,,
HC genotype,HC meal,Time_360,HMDB0011563,MG 15:0,0.0034383516554754,0.0158260540428495,0.841943668930414,,Main,-0.0275807142685096,0.0344574175794604
HC genotype,HC meal,Time_(joint),HMDB0011563,MG 15:0,,,,0.841943668930414,Main,,
HC genotype,HC meal,Time_360,HMDB0029377,Piperine,-0.0282375043388541,0.240381352813743,0.910321579273218,,Main,-0.499384955853791,0.442909947176082
HC genotype,HC meal,Time_(joint),HMDB0029377,Piperine,,,,0.910321579273218,Main,,
HC genotype,HC meal,Time_360,HMDB0010403,LPC 22:5/0:0,0.39401154177688,0.0268155392753833,0.000683768062132638,,Main,0.341453084797129,0.446569998756631
HC genotype,HC meal,Time_(joint),HMDB0010403,LPC 22:5/0:0,,,,0.000683768062132638,Main,,
HC genotype,HC meal,Time_360,HMDB0002815,LPC 18:1/0:0,0.0468007629579006,0.0275448823176727,0.187867539003241,,Main,-0.00718720638473789,0.100788732300539
HC genotype,HC meal,Time_(joint),HMDB0002815,LPC 18:1/0:0,,,,0.187867539003241,Main,,
HC genotype,HC meal,Time_360,HMDB0011568,MG 18:2,0.0663263528907336,0.16353386979374,0.712242216062572,,Main,-0.254200031904996,0.386852737686463
HC genotype,HC meal,Time_(joint),HMDB0011568,MG 18:2,,,,0.712242216062572,Main,,
HC genotype,HC meal,Time_360,HMDB0011506,LPE 18:1/0:0,0.391286571949801,0.0473137756115918,0.00370295678490994,,Main,0.298551571751081,0.484021572148521
HC genotype,HC meal,Time_(joint),HMDB0011506,LPE 18:1/0:0,,,,0.00370295678490994,Main,,
HC genotype,HC meal,Time_360,HMDB0000122,Hexose,0.149567825194975,0.0536386966797538,0.0685081619378197,,Main,0.0444359797026573,0.254699670687292
HC genotype,HC meal,Time_(joint),HMDB0000122,Hexose,,,,0.0685081619378197,Main,,
HC genotype,HC meal,Time_360,HMDB0012108,LPC 17:0/0:0,-0.00939391656899868,0.0239391195053437,0.720974444101868,,Main,-0.0563145907994723,0.0375267576614749
HC genotype,HC meal,Time_(joint),HMDB0012108,LPC 17:0/0:0,,,,0.720974444101868,Main,,
HC genotype,HC meal,Time_360,HMDB0010401,LPC 22:4/0:0,0.0872112260729025,0.0482316391091861,0.168297494241878,,Main,-0.00732278658110229,0.181745238726907
HC genotype,HC meal,Time_(joint),HMDB0010401,LPC 22:4/0:0,,,,0.168297494241878,Main,,
HC genotype,HC meal,Time_360,HMDB0010407,LPC P-16:0/0:0,-0.0328947545954748,0.022795597369084,0.24471242627528,,Main,-0.0775741254388793,0.0117846162479298
HC genotype,HC meal,Time_(joint),HMDB0010407,LPC P-16:0/0:0,,,,0.24471242627528,Main,,
HC genotype,HC meal,Time_360,HMDB0243890,LPC O-16:0/0:0,-0.10762189847078,0.0256833933297016,0.0247828434350454,,Main,-0.157961349396995,-0.0572824475445643
HC genotype,HC meal,Time_(joint),HMDB0243890,LPC O-16:0/0:0,,,,0.0247828434350454,Main,,
HC genotype,HC meal,Time_360,HMDB0010392,LPC 20:2/0:0,0.0764989800954224,0.0287431415437423,0.0762430098626755,,Main,0.0201624226696875,0.132835537521157
HC genotype,HC meal,Time_(joint),HMDB0010392,LPC 20:2/0:0,,,,0.0762430098626755,Main,,
HC genotype,HC meal,Time_360,HMDB0011564,MG 16:0,-0.00670842118599768,0.00714975716739046,0.417321774757177,,Main,-0.020721945234083,0.00730510286208761
HC genotype,HC meal,Time_(joint),HMDB0011564,MG 16:0,,,,0.417321774757177,Main,,
HC genotype,HC meal,Time_360,HMDB0000063,Cortisol,-0.0208867622906936,0.0328828295894714,0.548748215036746,,Main,-0.0853371082860576,0.0435635837046703
HC genotype,HC meal,Time_(joint),HMDB0000063,Cortisol,,,,0.548748215036746,Main,,
HC genotype,HC meal,Time_360,HMDB0002802,Cortisone,-0.0507693614860756,0.0812555455219621,0.576390858511272,,Main,-0.210030230709121,0.10849150773697
HC genotype,HC meal,Time_(joint),HMDB0002802,Cortisone,,,,0.576390858511272,Main,,
HC genotype,HC meal,Time_360,HMDB0013648,Palmitoleoyl-EA,0.084590720053054,0.0513949870463959,0.15088646675306,,Main,-0.0161434545578819,0.18532489466399
HC genotype,HC meal,Time_(joint),HMDB0013648,Palmitoleoyl-EA,,,,0.15088646675306,Main,,
HC genotype,HC meal,Time_360,HMDB0011128,LPC 0:0/18:0,-0.0443141792078752,0.0727927180515706,0.585676675715909,,Main,-0.186987906588954,0.0983595481732032
HC genotype,HC meal,Time_(joint),HMDB0011128,LPC 0:0/18:0,,,,0.585676675715909,Main,,
HC genotype,HC meal,Time_360,HMDB0011129,LPE 0:0/18:0,0.257504217321301,0.0688402583907525,0.0333306892214251,,Main,0.122577310875426,0.392431123767176
HC genotype,HC meal,Time_(joint),HMDB0011129,LPE 0:0/18:0,,,,0.0333306892214251,Main,,
HC genotype,HC meal,Time_360,HMDB0010408,LPC P-18:1/0:0,0.0271010683860027,0.0630262985977605,0.696214706903521,,Main,-0.096430476865608,0.150632613637613
HC genotype,HC meal,Time_(joint),HMDB0010408,LPC P-18:1/0:0,,,,0.696214706903521,Main,,
HC genotype,HC meal,Time_360,HMDB0000254,Succinic acid,0.00365763346344128,0.125367224425682,0.978557099667414,,Main,-0.242062126410896,0.249377393337778
HC genotype,HC meal,Time_(joint),HMDB0000254,Succinic acid,,,,0.978557099667414,Main,,
HC genotype,HC meal,Time_360,HMDB0010384,LPC 18:0/0:0,-0.0649665730953264,0.038088703283435,0.186613769577804,,Main,-0.139620431530859,0.00968728534020623
HC genotype,HC meal,Time_(joint),HMDB0010384,LPC 18:0/0:0,,,,0.186613769577804,Main,,
HC genotype,HC meal,Time_360,HMDB0011130,LPE 18:0/0:0,0.0826600591582789,0.021842535535683,0.0323470797979877,,Main,0.0398486895083402,0.125471428808218
HC genotype,HC meal,Time_(joint),HMDB0011130,LPE 18:0/0:0,,,,0.0323470797979877,Main,,
HC genotype,HC meal,Time_360,HMDB0011567,MG 18:1,0.0117137833318992,0.0675248629753556,0.87332378545053,,Main,-0.120634948099798,0.144062514763596
HC genotype,HC meal,Time_(joint),HMDB0011567,MG 18:1,,,,0.87332378545053,Main,,
HC genotype,HC meal,Time_360,HMDB0072856,MG 17:0,-0.0168346389931564,0.017763368996134,0.413191128390068,,Main,-0.051650842225579,0.0179815642392661
HC genotype,HC meal,Time_(joint),HMDB0072856,MG 17:0,,,,0.413191128390068,Main,,
HC genotype,HC meal,Time_360,HMDB0010391,LPC 20:1/0:0,-0.0431723551664724,0.0267068194147354,0.204400714495246,,Main,-0.0955177212193539,0.00917301088640903
HC genotype,HC meal,Time_(joint),HMDB0010391,LPC 20:1/0:0,,,,0.204400714495246,Main,,
HC genotype,HC meal,Time_360,HMDB0000045,AMP,-0.0125412495389448,0.172403116486335,0.944374390054543,,Main,-0.350451357852161,0.325368858774272
HC genotype,HC meal,Time_(joint),HMDB0000045,AMP,,,,0.944374390054543,Main,,
HC genotype,HC meal,Time_360,HMDB0011149,LPC O-18:0/0:0,-0.158083814546625,0.0391312417090076,0.027290468080974,,Main,-0.23478104829628,-0.0813865807969706
HC genotype,HC meal,Time_(joint),HMDB0011149,LPC O-18:0/0:0,,,,0.027290468080974,Main,,
HC genotype,HC meal,Time_360,HMDB0011131,MG 18:0,0.00123814390231991,0.0216785386011038,0.958045747054177,,Main,-0.0412517917558436,0.0437280795604834
HC genotype,HC meal,Time_(joint),HMDB0011131,MG 18:0,,,,0.958045747054177,Main,,
HC genotype,HC meal,Time_360,HMDB0000072,cis-Aconitic acid,0.154506623107427,0.0891725847039101,0.181576387312578,,Main,-0.0202716429122372,0.32928488912709
HC genotype,HC meal,Time_(joint),HMDB0000072,cis-Aconitic acid,,,,0.181576387312578,Main,,
HC genotype,HC meal,Time_360,HMDB0013250,N-Myristoylglycine,0.372236246926046,0.324354455377535,0.334344869005161,,Main,-0.263498485613922,1.00797097946601
HC genotype,HC meal,Time_(joint),HMDB0013250,N-Myristoylglycine,,,,0.334344869005161,Main,,
HC genotype,HC meal,Time_360,HMDB0010390,LPC 20:0/0:0,-0.026939499587197,0.0152935202698329,0.176369446930041,,Main,-0.0569147993160694,0.00303580014167546
HC genotype,HC meal,Time_(joint),HMDB0010390,LPC 20:0/0:0,,,,0.176369446930041,Main,,
HC genotype,HC meal,Time_360,HMDB0010399,LPC 22:1/0:0,0.0489820478167111,0.0163365311638456,0.0577464185211965,,Main,0.0169624467355737,0.0810016488978485
HC genotype,HC meal,Time_(joint),HMDB0010399,LPC 22:1/0:0,,,,0.0577464185211965,Main,,
HC genotype,HC meal,Time_360,HMDB0072839,MG 19:0,-0.0139291842628532,0.0215388466374896,0.563894051293373,,Main,-0.0561453236723329,0.0282869551466265
HC genotype,HC meal,Time_(joint),HMDB0072839,MG 19:0,,,,0.563894051293373,Main,,
HC genotype,HC meal,Time_360,HMDB0011572,MG 20:0,0.00353723504992542,0.0259391234668229,0.900168015771098,,Main,-0.0473034469450474,0.0543779170448983
HC genotype,HC meal,Time_(joint),HMDB0011572,MG 20:0,,,,0.900168015771098,Main,,
HC genotype,HC meal,Time_360,HMDB0000786,Oxypurinol,-0.186776755951954,0.130748968260819,0.20306708584062,,Main,-0.443044733743158,0.0694912218392511
HC genotype,HC meal,Time_(joint),HMDB0000786,Oxypurinol,,,,0.20306708584062,Main,,
HC genotype,HC meal,Time_360,HMDB0010398,LPC 22:0/0:0,0.00658482218389622,0.0233323627914909,0.796126128353617,,Main,-0.0391466088874259,0.0523162532552183
HC genotype,HC meal,Time_(joint),HMDB0010398,LPC 22:0/0:0,,,,0.796126128353617,Main,,
HC genotype,HC meal,Time_360,HMDB0010406,LPC 24:1/0:0,0.0174792581208684,0.0443360231118689,0.719753618396667,,Main,-0.0694193471783945,0.104377863420131
HC genotype,HC meal,Time_(joint),HMDB0010406,LPC 24:1/0:0,,,,0.719753618396667,Main,,
HC genotype,HC meal,Time_360,HMDB0012096,SM 30:1;O2,0.0234622927431794,0.0297645955091078,0.488090472404593,,Main,-0.0348763144546718,0.0818008999410306
HC genotype,HC meal,Time_(joint),HMDB0012096,SM 30:1;O2,,,,0.488090472404593,Main,,
HC genotype,HC meal,Time_360,HMDB0000921,Cholestenone,0.0108948218806963,0.0243570010085989,0.684983528874898,,Main,-0.0368449000961574,0.0586345438575501
HC genotype,HC meal,Time_(joint),HMDB0000921,Cholestenone,,,,0.684983528874898,Main,,
HC genotype,HC meal,Time_360,HMDB0011581,MG 22:0,-0.0655132741749505,0.0356710275547117,0.163591218715658,,Main,-0.135428488182185,0.0044019398322844
HC genotype,HC meal,Time_(joint),HMDB0011581,MG 22:0,,,,0.163591218715658,Main,,
HC genotype,HC meal,Time_360,HMDB0011527,LPE 24:0/0:0,0.0929170677609896,0.0397684220583729,0.101548978961456,,Main,0.0149709605265788,0.170863174995401
HC genotype,HC meal,Time_(joint),HMDB0011527,LPE 24:0/0:0,,,,0.101548978961456,Main,,
HC genotype,HC meal,Time_360,HMDB0000067,Cholesterol,0.0173712924784474,0.030245384710623,0.605972469602167,,Main,-0.0419096615543736,0.0766522465112684
HC genotype,HC meal,Time_(joint),HMDB0000067,Cholesterol,,,,0.605972469602167,Main,,
HC genotype,HC meal,Time_360,HMDB0029220,LPC 26:1/0:0,0.0490977029424719,0.0173293591924474,0.0660147638378954,,Main,0.0151321589252749,0.0830632469596689
HC genotype,HC meal,Time_(joint),HMDB0029220,LPC 26:1/0:0,,,,0.0660147638378954,Main,,
HC genotype,HC meal,Time_360,HMDB0007903,PC 30:2,0.230087514453089,0.0818670516357108,0.067264757840103,,Main,0.0696280932470959,0.390546935659082
HC genotype,HC meal,Time_(joint),HMDB0007903,PC 30:2,,,,0.067264757840103,Main,,
HC genotype,HC meal,Time_360,HMDB0240677,SM 33:2;O2_A,0.0417430728104762,0.0216555497447387,0.149518996839322,,Main,-0.000701804689211612,0.0841879503101639
HC genotype,HC meal,Time_(joint),HMDB0240677,SM 33:2;O2_A,,,,0.149518996839322,Main,,
HC genotype,HC meal,Time_360,HMDB0007866,PC 28:0,0.126565997162953,0.0508233646041337,0.0884597475433739,,Main,0.0269522025388505,0.226179791787055
HC genotype,HC meal,Time_(joint),HMDB0007866,PC 28:0,,,,0.0884597475433739,Main,,
HC genotype,HC meal,Time_360,HMDB0007875,PC 32:3,0.0641354550891293,0.0588191910512305,0.355290992237829,,Main,-0.0511501593712824,0.179421069549541
HC genotype,HC meal,Time_(joint),HMDB0007875,PC 32:3,,,,0.355290992237829,Main,,
HC genotype,HC meal,Time_360,HMDB0001492,gamma-Tocopherol,0.0805301130849722,0.0536115981228615,0.230079809848213,,Main,-0.0245486192358363,0.185608845405781
HC genotype,HC meal,Time_(joint),HMDB0001492,gamma-Tocopherol,,,,0.230079809848213,Main,,
HC genotype,HC meal,Time_360,HMDB0011588,MG 24:0,0.00461660685458298,0.0430963787621764,0.921453557861867,,Main,-0.0798522955192827,0.0890855092284486
HC genotype,HC meal,Time_(joint),HMDB0011588,MG 24:0,,,,0.921453557861867,Main,,
HC genotype,HC meal,Time_360,HMDB0012097,SM 32:1;O2,0.0181935534216712,0.0322994911364804,0.61260187067886,,Main,-0.0451134492058303,0.0815005560491728
HC genotype,HC meal,Time_(joint),HMDB0012097,SM 32:1;O2,,,,0.61260187067886,Main,,
HC genotype,HC meal,Time_360,HMDB0007916,PC 34:5,0.117953681418346,0.0427788890184344,0.0703117351688741,,Main,0.0341070589422142,0.201800303894477
HC genotype,HC meal,Time_(joint),HMDB0007916,PC 34:5,,,,0.0703117351688741,Main,,
HC genotype,HC meal,Time_360,HMDB0007870,PC 30:1,0.131422562992046,0.0464544390137308,0.0662408127303384,,Main,0.0403718625251341,0.222473263458959
HC genotype,HC meal,Time_(joint),HMDB0007870,PC 30:1,,,,0.0662408127303384,Main,,
HC genotype,HC meal,Time_360,HMDB0240613,SM 34:2;O2,0.0197019541260985,0.0213655034214555,0.424466321291155,,Main,-0.0221744325799543,0.0615783408321514
HC genotype,HC meal,Time_(joint),HMDB0240613,SM 34:2;O2,,,,0.424466321291155,Main,,
HC genotype,HC meal,Time_360,HMDB0012085,SM 32:0;O2,0.0304827808427213,0.0111167849344528,0.0712156407173768,,Main,0.00869388237119381,0.0522716793142487
HC genotype,HC meal,Time_(joint),HMDB0012085,SM 32:0;O2,,,,0.0712156407173768,Main,,
HC genotype,HC meal,Time_360,HMDB0001893,alpha-Tocopherol,0.0286730775975776,0.0269937262791404,0.366069030483105,,Main,-0.0242346259095375,0.0815807811046928
HC genotype,HC meal,Time_(joint),HMDB0001893,alpha-Tocopherol,,,,0.366069030483105,Main,,
HC genotype,HC meal,Time_360,HMDB0007932,PC 29:0,0.206394128258143,0.0543325062898216,0.0320323869910608,,Main,0.099902415930093,0.312885840586193
HC genotype,HC meal,Time_(joint),HMDB0007932,PC 29:0,,,,0.0320323869910607,Main,,
HC genotype,HC meal,Time_360,HMDB0000094,Citric and,0.0213706799231641,0.0445405706401463,0.664176907073647,,Main,-0.0659288385315226,0.108670198377851
HC genotype,HC meal,Time_(joint),HMDB0000094,Citric and,,,,0.664176907073647,Main,,
HC genotype,HC meal,Time_360,HMDB0029205,LPC 26:0/0:0,0.0503908279186547,0.0281553742886545,0.171433407589185,,Main,-0.00479370568710814,0.105575361524418
HC genotype,HC meal,Time_(joint),HMDB0029205,LPC 26:0/0:0,,,,0.171433407589185,Main,,
HC genotype,HC meal,Time_360,HMDB0006750,Hex2Cer 34:1;O2,0.0112915210161973,0.020032196243883,0.612366305203879,,Main,-0.0279715836218133,0.0505546256542079
HC genotype,HC meal,Time_(joint),HMDB0006750,Hex2Cer 34:1;O2,,,,0.612366305203879,Main,,
HC genotype,HC meal,Time_360,HMDB0007883,PC 34:4,0.0698249334972762,0.0408884740352318,0.186230172765314,,Main,-0.010316475611778,0.14996634260633
HC genotype,HC meal,Time_(joint),HMDB0007883,PC 34:4,,,,0.186230172765314,Main,,
HC genotype,HC meal,Time_360,HMDB0007041,DG 30:2,0.0209636485715699,0.350913579724906,0.956119474064082,,Main,-0.666826967689245,0.708754264832385
HC genotype,HC meal,Time_(joint),HMDB0007041,DG 30:2,,,,0.956119474064082,Main,,
HC genotype,HC meal,Time_360,HMDB0004971,HexCer 34:1;O2,0.0168749141226279,0.0319173697409578,0.63362784633883,,Main,-0.0456831305696494,0.0794329588149051
HC genotype,HC meal,Time_(joint),HMDB0004971,HexCer 34:1;O2,,,,0.63362784633883,Main,,
HC genotype,HC meal,Time_360,HMDB0007936,PC 31:1,0.0967205158061475,0.046540608517031,0.129226585941977,,Main,0.0055009231127667,0.187940108499528
HC genotype,HC meal,Time_(joint),HMDB0007936,PC 31:1,,,,0.129226585941977,Main,,
HC genotype,HC meal,Time_360,HMDB0008511,PC 40:10,0.0446790131771985,0.0303780488658329,0.237719355663078,,Main,-0.0148619625998341,0.104219988954231
HC genotype,HC meal,Time_(joint),HMDB0008511,PC 40:10,,,,0.237719355663078,Main,,
HC genotype,HC meal,Time_360,HMDB0007869,PC 30:0,0.0867048844667975,0.0463410406220251,0.15809415044696,,Main,-0.00412355515237178,0.177533324085967
HC genotype,HC meal,Time_(joint),HMDB0007869,PC 30:0,,,,0.15809415044696,Main,,
HC genotype,HC meal,Time_360,HMDB0008006,PC 34:3,0.088780619555351,0.03937722215962,0.10946922912681,,Main,0.0116012641224958,0.165959974988206
HC genotype,HC meal,Time_(joint),HMDB0008006,PC 34:3,,,,0.10946922912681,Main,,
HC genotype,HC meal,Time_360,HMDB0007940,PC 33:2,0.0646876149035974,0.0519528062711187,0.301483759065171,,Main,-0.0371398853877951,0.16651511519499
HC genotype,HC meal,Time_(joint),HMDB0007940,PC 33:2,,,,0.301483759065171,Main,,
HC genotype,HC meal,Time_360,HMDB0002329,Oxalic acid,0.203898875902461,0.127562654034625,0.208242913279092,,Main,-0.0461239260054039,0.453921677810327
HC genotype,HC meal,Time_(joint),HMDB0002329,Oxalic acid,,,,0.208242913279092,Main,,
HC genotype,HC meal,Time_360,HMDB0008428,PC 35:4,0.0316126560020713,0.0512748343422682,0.581169584745367,,Main,-0.0688860193087743,0.132111331312917
HC genotype,HC meal,Time_(joint),HMDB0008428,PC 35:4,,,,0.581169584745367,Main,,
HC genotype,HC meal,Time_360,HMDB0007983,PC 36:4_A,0.0785813436487287,0.0502553315624948,0.215850913063379,,Main,-0.0199191062137611,0.177081793511219
HC genotype,HC meal,Time_(joint),HMDB0007983,PC 36:4_A,,,,0.215850913063379,Main,,
HC genotype,HC meal,Time_360,HMDB0007873,PC 32:1,0.0799693522909737,0.0568862641650623,0.254459046153005,,Main,-0.0315277254725485,0.191466430054496
HC genotype,HC meal,Time_(joint),HMDB0007873,PC 32:1,,,,0.254459046153005,Main,,
HC genotype,HC meal,Time_360,HMDB0011745,N-Acetylmethionine,0.153098348244502,0.0282392598190114,0.012311984644973,,Main,0.0977493989992392,0.208447297489764
HC genotype,HC meal,Time_(joint),HMDB0011745,N-Acetylmethionine,,,,0.012311984644973,Main,,
HC genotype,HC meal,Time_360,HMDB0000402,2-Isopropylmalic acid,0.0853394668842746,0.0345292045488262,0.0899434559688793,,Main,0.0176622259685752,0.153016707799974
HC genotype,HC meal,Time_(joint),HMDB0000402,2-Isopropylmalic acid,,,,0.0899434559688793,Main,,
HC genotype,HC meal,Time_360,HMDB0004949,Cer 34:1;O2,0.159007639195128,0.0756481342787146,0.126332023949379,,Main,0.0107372960088475,0.307277982381409
HC genotype,HC meal,Time_(joint),HMDB0004949,Cer 34:1;O2,,,,0.126332023949379,Main,,
HC genotype,HC meal,Time_360,HMDB0000956,Tartaric acid,0.0120186688182571,0.0477864220746639,0.817665710557564,,Main,-0.0816427184480842,0.105680056084598
HC genotype,HC meal,Time_(joint),HMDB0000956,Tartaric acid,,,,0.817665710557564,Main,,
HC genotype,HC meal,Time_360,HMDB0012101,SM 36:2;O2,0.0123006963974284,0.0260566286049003,0.669087529712285,,Main,-0.0387702956681762,0.0633716884630329
HC genotype,HC meal,Time_(joint),HMDB0012101,SM 36:2;O2,,,,0.669087529712285,Main,,
HC genotype,HC meal,Time_360,HMDB0007012,DG 30:1,0.270235119712961,0.423276012699396,0.568587664760345,,Main,-0.559385865177855,1.09985610460378
HC genotype,HC meal,Time_(joint),HMDB0007012,DG 30:1,,,,0.568587664760345,Main,,
HC genotype,HC meal,Time_360,HMDB0010168,SM 34:0;O2,0.00982595401092479,0.0300506268634275,0.76516898491176,,Main,-0.0490732746413932,0.0687251826632427
HC genotype,HC meal,Time_(joint),HMDB0010168,SM 34:0;O2,,,,0.76516898491176,Main,,
HC genotype,HC meal,Time_360,HMDB0000134,Fumaric and,-0.124873487606485,0.241601151225991,0.640943854903332,,Main,-0.598411744009427,0.348664768796457
HC genotype,HC meal,Time_(joint),HMDB0000134,Fumaric and,,,,0.640943854903332,Main,,
