"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0004667","13-HODE","HMDB0004667","6443013","C14762","CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O","1"
"HMDB0000638","Dodecanoic acid","HMDB0000638","3893","C02679","CCCCCCCCCCCC(O)=O","1"
"HMDB0002000","Myristoleic acid","HMDB0002000","5281119","C08322","CCCC\C=C/CCCCCCCC(O)=O","1"
"HMDB0304761","NA","NA","NA","NA","NA","0"
"HMDB0000910","Tridecanoic acid","HMDB0000910","12530","C17076","CCCCCCCCCCCCC(O)=O","1"
"HMDB0002100","Palmitoylethanolamide","HMDB0002100","4671","C16512","CCCCCCCCCCCCCCCC(=O)NCCO","1"
"HMDB0001999","Eicosapentaenoic acid","HMDB0001999","446284","C06428","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"HMDB0001388","alpha-Linolenic acid","HMDB0001388","5280934","C06427","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"HMDB0000806","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(O)=O","1"
"HMDB0031057","2-Hydroxyhexadecanoic acid","HMDB0031057","12575964",NA,"CCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
"HMDB0002183","Docosahexaenoic acid","HMDB0002183","445580","C06429","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"HMDB0003229","Palmitoleic acid","HMDB0003229","445638","C08362","CCCCCC\C=C/CCCCCCCC(O)=O","1"
"HMDB0001043","Arachidonic acid","HMDB0001043","444899","C00219","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"HMDB0000673","Linoleic acid","HMDB0000673","5280450","C01595","CCCCC\C=C/C\C=C/CCCCCCCC(O)=O","1"
"HMDB0001976","Docosapentaenoic acid (22n-6)","HMDB0001976","6441454",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"HMDB0000826","Pentadecanoic acid","HMDB0000826","13849","C16537","CCCCCCCCCCCCCCC(O)=O","1"
"HMDB0060038","10Z-Heptadecenoic acid","HMDB0060038","5312435",NA,"CCCCCC\C=C/CCCCCCCCC(O)=O","1"
"HMDB0002925","Dihomo-gamma-linolenic acid","HMDB0002925","5280581","C03242","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O","1"
"HMDB0000220","Palmitic acid","HMDB0000220","985","C00249","CCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002226","Adrenic acid","HMDB0002226","5497181","C16527","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O","1"
"HMDB0011773","Cer(d18:1/14:0)","HMDB0011773","5282310","C13916","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC","1"
"HMDB0000207","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"HMDB0062549","2-Hydroxystearic acid","HMDB0062549","439887","C03045","CCCCCCCCCCCCCCCC[C@H](O)C(O)=O","1"
"HMDB0005060","Eicosadienoic acid","HMDB0005060","6439848","C16525","CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O","1"
"HMDB0002259","Heptadecanoic acid","HMDB0002259","10465",NA,"CCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002231","11Z-Eicosenoic acid","HMDB0002231","5282768","C16526","CCCCCCCC\C=C/CCCCCCCCCC(O)=O","1"
"HMDB0000801","Phytanic acid","HMDB0000801","26840","C01607","CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O","1"
"HMDB0061710","NA","NA","NA","NA","NA","0"
"HMDB0000772","Nonadecanoic acid","HMDB0000772","12591","C16535","CCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002212","Arachidic acid","HMDB0002212","10467","C06425","CCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002068","Erucic acid","HMDB0002068","5281116","C08316","CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O","1"
"HMDB0002368","Nervonic acid","HMDB0002368","5281120","C08323","CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O","1"
"HMDB0000362","2-Phosphoglyceric acid","HMDB0000362","59",NA,"OCC(OP(O)(O)=O)C(O)=O","1"
"HMDB0003073","gamma-Linolenic acid","HMDB0003073","5280933","C06426","CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O","1"
"HMDB0001906","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(N)C(O)=O","1"
"HMDB0013622","10Z-Nonadecenoic acid","HMDB0013622","5312513","C00174","CCCCCCCC\C=C/CCCCCCCCC(O)=O","1"
"HMDB0001539","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"HMDB0011134","5-HETE","HMDB0011134","5280733","C04805","CCCCC\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O","1"
"HMDB0000112","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"HMDB0003876","15-HETE","HMDB0003876","5280724","C04742","CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"HMDB0000172","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"HMDB0005066","Tetradecanoylcarnitine","HMDB0005066","53477791",NA,"CCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0011757","N-Acetylvaline","HMDB0011757","66789",NA,"CC(C)[C@H](NC(C)=O)C(O)=O","1"
"HMDB0000439","2-Furoylglycine","HMDB0000439","21863",NA,"OC(=O)CNC(=O)C1=CC=CO1","1"
"HMDB0000271","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"HMDB0047901","NA","NA","NA","NA","NA","0"
