Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_120,-0.152743520995572,0.0459311402548224,0.00222369679965714,,,Main,-0.242768555895023,-0.0627184860961198,LPC 22:6/0:0,"-0.2 (-0.2, -0.1)",2.2e-03,2.2e-03**,,HMDB0010404
Time_235,-0.143104592549019,0.0459311402548224,0.00385795130504006,,,Main,-0.233129627448471,-0.0530795576495676,LPC 22:6/0:0,"-0.1 (-0.2, -0.1)",3.9e-03,3.9e-03**,,HMDB0010404
Time_(joint),,,,6.9366968833474,0.00314358868298777,Main,,,LPC 22:6/0:0,"NA (NA, NA)",,,3.1e-03**,HMDB0010404
Time_120,0.361546665967014,0.0585952252058251,6.6369265260909e-07,,,Main,0.246700024563596,0.476393307370431,LPE 18:2/0:0,"0.4 (0.2, 0.5)",6.6e-07,6.6e-07***,,HMDB0011507
Time_235,0.570779341828729,0.0585952252058251,4.29068948778021e-11,,,Main,0.455932700425312,0.685625983232147,LPE 18:2/0:0,"0.6 (0.5, 0.7)",4.3e-11,4.3e-11***,,HMDB0011507
Time_(joint),,,,48.5702511241169,2.02022670641284e-10,Main,,,LPE 18:2/0:0,"NA (NA, NA)",,,2e-10***,HMDB0011507
Time_120,-0.23887458529205,0.0736808504205258,0.0027730390177594,,,Main,-0.38328905211628,-0.0944601184678191,LPE 22:6/0:0,"-0.2 (-0.4, -0.1)",2.8e-03,2.8e-03**,,HMDB0011526
Time_235,-0.225113370962933,0.0736808504205258,0.00450894240126714,,,Main,-0.369527837787163,-0.080698904138702,LPE 22:6/0:0,"-0.2 (-0.4, -0.1)",4.5e-03,4.5e-03**,,HMDB0011526
Time_(joint),,,,6.62670215945513,0.00390822471551323,Main,,,LPE 22:6/0:0,"NA (NA, NA)",,,3.9e-03**,HMDB0011526
Time_120,-0.0718298675398028,0.035031826071466,0.0485897566342235,,,Main,-0.140492246639876,-0.00316748843972944,LPC 20:4/0:0,"-0.1 (-0.1, 0)",0.049,0.049*,,HMDB0010395
Time_235,-0.0712041346540956,0.035031826071466,0.0504655123772274,,,Main,-0.139866513754169,-0.00254175555402222,LPC 20:4/0:0,"-0.1 (-0.1, 0)",0.05,0.05,,HMDB0010395
Time_(joint),,,,2.77860436139512,0.0771448125949933,Main,,,LPC 20:4/0:0,"NA (NA, NA)",,,0.077,HMDB0010395
Time_120,-0.0719456493246076,0.140771062622807,0.612801568685443,,,Main,-0.347856932065309,0.203965633416094,LPE 20:4/0:0,"-0.1 (-0.3, 0.2)",0.613,0.613,,HMDB0011517
Time_235,0.370503548002729,0.140771062622807,0.0129565392811689,,,Main,0.0945922652620274,0.64641483074343,LPE 20:4/0:0,"0.4 (0.1, 0.6)",0.013,0.013*,,HMDB0011517
Time_(joint),,,,5.68903831089955,0.00769263254357457,Main,,,LPE 20:4/0:0,"NA (NA, NA)",,,7.7e-03**,HMDB0011517
Time_120,0.228221018185393,0.0678396121616341,0.00200630548510773,,,Main,0.0952553783485901,0.361186658022196,LPE 0:0/16:0,"0.2 (0.1, 0.4)",2.0e-03,2.0e-03**,,HMDB0011473
Time_235,0.268753622629966,0.0678396121616341,0.000390085454857101,,,Main,0.135787982793163,0.401719262466768,LPE 0:0/16:0,"0.3 (0.1, 0.4)",3.9e-04,3.9e-04***,,HMDB0011473
Time_(joint),,,,9.12287454150742,0.000732504756123834,Main,,,LPE 0:0/16:0,"NA (NA, NA)",,,7.3e-04***,HMDB0011473
Time_120,-0.0591595870103942,0.0205122653439262,0.00696622823447914,,,Main,-0.0993636270844896,-0.0189555469362988,LPC 16:0/0:0,"-0.1 (-0.1, 0)",7.0e-03,7.0e-03**,,HMDB0010382
Time_235,-0.148344811786245,0.0205122653439262,3.24432335464227e-08,,,Main,-0.18854885186034,-0.108140771712149,LPC 16:0/0:0,"-0.1 (-0.2, -0.1)",3.2e-08,3.2e-08***,,HMDB0010382
Time_(joint),,,,26.5080636290493,1.62322442233798e-07,Main,,,LPC 16:0/0:0,"NA (NA, NA)",,,1.6e-07***,HMDB0010382
Time_120,-0.0632590017078677,0.0579801264191849,0.283399790361346,,,Main,-0.17690004948947,0.0503820460737347,5-Hydroxytryptophol,"-0.1 (-0.2, 0.1)",0.283,0.283,,HMDB0001855
Time_235,-0.0337342914630374,0.0579801264191849,0.564761238503178,,,Main,-0.14737533924464,0.079906756318565,5-Hydroxytryptophol,"0 (-0.1, 0.1)",0.565,0.565,,HMDB0001855
Time_(joint),,,,0.59606955480103,0.556975101927347,Main,,,5-Hydroxytryptophol,"NA (NA, NA)",,,0.557,HMDB0001855
Time_120,0.162700699975542,0.0366356466555747,0.000100001432077466,,,Main,0.0908948325306159,0.234506567420469,LPE 16:0/0:0,"0.2 (0.1, 0.2)",1.0e-04,1.0e-04***,,HMDB0011503
Time_235,0.167433013516312,0.0366356466555747,6.89768288992397e-05,,,Main,0.095627146071386,0.239238880961239,LPE 16:0/0:0,"0.2 (0.1, 0.2)",6.9e-05,6.9e-05***,,HMDB0011503
Time_(joint),,,,13.5421747281529,5.48075415996449e-05,Main,,,LPE 16:0/0:0,"NA (NA, NA)",,,5.5e-05***,HMDB0011503
Time_120,0.0211020576003508,0.0335954395284431,0.534381121219339,,,Main,-0.0447450038753976,0.0869491190760992,Stearamide,"0 (0, 0.1)",0.534,0.534,,HMDB0034146
Time_235,0.0403159954544375,0.0335954395284431,0.238931690871188,,,Main,-0.0255310660213109,0.106163056930186,Stearamide,"0 (0, 0.1)",0.239,0.239,,HMDB0034146
Time_(joint),,,,0.720578875287011,0.494195493265726,Main,,,Stearamide,"NA (NA, NA)",,,0.494,HMDB0034146
Time_120,-0.0818414802321272,0.0424501678477967,0.062776574844373,,,Main,-0.165043809213809,0.00136084874955432,LPC 20:3/0:0,"-0.1 (-0.2, 0)",0.063,0.063,,HMDB0010393
Time_235,-0.0742381692123455,0.0424501678477967,0.089908160339521,,,Main,-0.157440498194027,0.00896415976933608,LPC 20:3/0:0,"-0.1 (-0.2, 0)",0.09,0.09,,HMDB0010393
Time_(joint),,,,2.26915093713126,0.119791471463552,Main,,,LPC 20:3/0:0,"NA (NA, NA)",,,0.12,HMDB0010393
Time_120,-0.00801046202517573,0.110290430508616,0.942552144781333,,,Main,-0.224179705822062,0.208158781771711,LPE 20:3/0:0,"0 (-0.2, 0.2)",0.943,0.943,,HMDB0011516
Time_235,0.118374790940936,0.110290430508616,0.291163645941217,,,Main,-0.0977944528559508,0.334544034737822,LPE 20:3/0:0,"0.1 (-0.1, 0.3)",0.291,0.291,,HMDB0011516
Time_(joint),,,,0.82346932274008,0.447992510339149,Main,,,LPE 20:3/0:0,"NA (NA, NA)",,,0.448,HMDB0011516
Time_120,0.0254907368614099,0.0288209667711371,0.383050164243536,,,Main,-0.0309983580100188,0.0819798317328387,MG 15:0,"0 (0, 0.1)",0.383,0.383,,HMDB0011563
Time_235,-0.01688842747291,0.0288209667711371,0.562001507407185,,,Main,-0.0733775223443387,0.0396006673985188,MG 15:0,"0 (-0.1, 0)",0.562,0.562,,HMDB0011563
Time_(joint),,,,1.0959274385378,0.34644721050372,Main,,,MG 15:0,"NA (NA, NA)",,,0.346,HMDB0011563
Time_120,0.025559433742222,0.0722695126004386,0.725907091380687,,,Main,-0.116088810954638,0.167207678439082,Piperine,"0 (-0.1, 0.2)",0.726,0.726,,HMDB0029377
Time_235,0.089588983858771,0.0722695126004386,0.224118903874747,,,Main,-0.0520592608380887,0.231237228555631,Piperine,"0.1 (-0.1, 0.2)",0.224,0.224,,HMDB0029377
Time_(joint),,,,0.815593948926007,0.451361314961966,Main,,,Piperine,"NA (NA, NA)",,,0.451,HMDB0029377
Time_120,-0.216686412953329,0.051985133991118,0.000217810230437525,,,Main,-0.318577275575921,-0.114795550330738,LPC 22:5/0:0,"-0.2 (-0.3, -0.1)",2.2e-04,2.2e-04***,,HMDB0010403
Time_235,-0.138714861613053,0.051985133991118,0.011865457635348,,,Main,-0.240605724235644,-0.0368239989904613,LPC 22:5/0:0,"-0.1 (-0.2, 0)",0.012,0.012*,,HMDB0010403
Time_(joint),,,,8.91465966799874,0.000836836039219806,Main,,,LPC 22:5/0:0,"NA (NA, NA)",,,8.4e-04***,HMDB0010403
Time_120,-0.10212645702776,0.0272537533550174,0.000708389771215123,,,Main,-0.155543813603594,-0.0487091004519261,LPC 18:1/0:0,"-0.1 (-0.2, 0)",7.1e-04,7.1e-04***,,HMDB0002815
Time_235,-0.149340699827566,0.0272537533550174,4.91980297734745e-06,,,Main,-0.2027580564034,-0.0959233432517319,LPC 18:1/0:0,"-0.1 (-0.2, -0.1)",4.9e-06,4.9e-06***,,HMDB0002815
Time_(joint),,,,15.6898189190756,1.78321455440613e-05,Main,,,LPC 18:1/0:0,"NA (NA, NA)",,,1.8e-05***,HMDB0002815
Time_120,0.0738169999603004,0.0792630385347671,0.358676079759153,,,Main,-0.081538555567843,0.229172555488444,MG 18:2,"0.1 (-0.1, 0.2)",0.359,0.359,,HMDB0011568
Time_235,-0.0043380860120782,0.0792630385347671,0.95669364898694,,,Main,-0.159693641540222,0.151017469516065,MG 18:2,"0 (-0.2, 0.2)",0.957,0.957,,HMDB0011568
Time_(joint),,,,0.614179479373273,0.547340215177671,Main,,,MG 18:2,"NA (NA, NA)",,,0.547,HMDB0011568
Time_120,0.193613107218405,0.04164507898489,5.49368823847229e-05,,,Main,0.11198875240802,0.275237462028789,LPE 18:1/0:0,"0.2 (0.1, 0.3)",5.5e-05,5.5e-05***,,HMDB0011506
Time_235,0.328408891240666,0.04164507898489,5.34906003553207e-09,,,Main,0.246784536430281,0.41003324605105,LPE 18:1/0:0,"0.3 (0.2, 0.4)",5.3e-09,5.3e-09***,,HMDB0011506
Time_(joint),,,,31.4261566182898,2.81600110539334e-08,Main,,,LPE 18:1/0:0,"NA (NA, NA)",,,2.8e-08***,HMDB0011506
Time_120,0.0848611804836148,0.0227256010005693,0.000734431053178097,,,Main,0.040319002522499,0.129403358444731,Hexose,"0.1 (0, 0.1)",7.3e-04,7.3e-04***,,HMDB0000122
Time_235,-0.0177153854706484,0.0227256010005693,0.441392578390365,,,Main,-0.0622575634317642,0.0268267924904673,Hexose,"0 (-0.1, 0)",0.441,0.441,,HMDB0000122
Time_(joint),,,,11.6417233092465,0.000158810010884094,Main,,,Hexose,"NA (NA, NA)",,,1.6e-04***,HMDB0000122
Time_120,-0.0359867291142234,0.00929078835680446,0.000499191349601193,,,Main,-0.0541966742935602,-0.0177767839348867,LPC 17:0/0:0,"0 (-0.1, 0)",5.0e-04,5.0e-04***,,HMDB0012108
Time_235,-0.0692732124038526,0.00929078835680446,1.73959911812599e-08,,,Main,-0.0874831575831893,-0.0510632672245158,LPC 17:0/0:0,"-0.1 (-0.1, -0.1)",1.7e-08,1.7e-08***,,HMDB0012108
Time_(joint),,,,27.8109245923692,1.00138486114251e-07,Main,,,LPC 17:0/0:0,"NA (NA, NA)",,,1e-07***,HMDB0012108
Time_120,-0.210417037268535,0.0473244397870443,9.85156533251113e-05,,,Main,-0.303172939251142,-0.117661135285928,LPC 22:4/0:0,"-0.2 (-0.3, -0.1)",9.9e-05,9.9e-05***,,HMDB0010401
Time_235,-0.143697933681892,0.0473244397870443,0.00473212614039179,,,Main,-0.236453835664499,-0.0509420316992855,LPC 22:4/0:0,"-0.1 (-0.2, -0.1)",4.7e-03,4.7e-03**,,HMDB0010401
Time_(joint),,,,10.3256212307279,0.00034662642069378,Main,,,LPC 22:4/0:0,"NA (NA, NA)",,,3.5e-04***,HMDB0010401
Time_120,-0.103214172833482,0.025817103809718,0.000352307740899353,,,Main,-0.153815696300529,-0.0526126493664343,LPC P-16:0/0:0,"-0.1 (-0.2, -0.1)",3.5e-04,3.5e-04***,,HMDB0010407
Time_235,-0.166902328659787,0.025817103809718,2.84588275743988e-07,,,Main,-0.217503852126834,-0.11630080519274,LPC P-16:0/0:0,"-0.2 (-0.2, -0.1)",2.8e-07,2.8e-07***,,HMDB0010407
Time_(joint),,,,21.2874592543486,1.32103691291595e-06,Main,,,LPC P-16:0/0:0,"NA (NA, NA)",,,1.3e-06***,HMDB0010407
Time_120,-0.0971045210019965,0.0250570040339635,0.000496461713048128,,,Main,-0.146216248908565,-0.047992793095428,LPC O-16:0/0:0,"-0.1 (-0.1, 0)",5.0e-04,5.0e-04***,,HMDB0243890
Time_235,-0.196710433336168,0.0250570040339635,5.88961164171124e-09,,,Main,-0.245822161242736,-0.147598705429599,LPC O-16:0/0:0,"-0.2 (-0.2, -0.1)",5.9e-09,5.9e-09***,,HMDB0243890
Time_(joint),,,,30.8169686451451,3.46311630794023e-08,Main,,,LPC O-16:0/0:0,"NA (NA, NA)",,,3.5e-08***,HMDB0243890
Time_120,-0.181150871713755,0.042706524770339,0.000176751855462593,,,Main,-0.26485566026362,-0.0974460831638907,LPC 20:2/0:0,"-0.2 (-0.3, -0.1)",1.8e-04,1.8e-04***,,HMDB0010392
Time_235,-0.202851456457613,0.042706524770339,4.10524993896994e-05,,,Main,-0.286556245007477,-0.119146667907748,LPC 20:2/0:0,"-0.2 (-0.3, -0.1)",4.1e-05,4.1e-05***,,HMDB0010392
Time_(joint),,,,13.6040754441845,5.30024182340818e-05,Main,,,LPC 20:2/0:0,"NA (NA, NA)",,,5.3e-05***,HMDB0010392
Time_120,-0.00226790730946772,0.0148625024843634,0.879677693152024,,,Main,-0.0313984121788199,0.0268625975598845,MG 16:0,"0 (0, 0)",0.88,0.88,,HMDB0011564
Time_235,-0.0150408829302966,0.0148625024843634,0.319128318544238,,,Main,-0.0441713877996488,0.0140896219390556,MG 16:0,"0 (0, 0)",0.319,0.319,,HMDB0011564
Time_(joint),,,,0.595339098758308,0.557367482124798,Main,,,MG 16:0,"NA (NA, NA)",,,0.557,HMDB0011564
Time_120,0.0168107237287132,0.012476504177721,0.187318104809475,,,Main,-0.00764322445962,0.0412646719170464,Cortisol,"0 (0, 0)",0.187,0.187,,HMDB0000063
Time_235,0.0301144959830177,0.012476504177721,0.0216899596507792,,,Main,0.00566054779468452,0.0545684441713509,Cortisol,"0 (0, 0.1)",0.022,0.022*,,HMDB0000063
Time_(joint),,,,2.92613376974183,0.0680658443030011,Main,,,Cortisol,"NA (NA, NA)",,,0.068,HMDB0000063
Time_120,-0.102246671383523,0.0512257247811379,0.0545030878378464,,,Main,-0.202649091954553,-0.00184425081249236,Cortisone,"-0.1 (-0.2, 0)",0.055,0.055,,HMDB0002802
Time_235,0.119664164999129,0.0512257247811379,0.0259169115280497,,,Main,0.0192617444280983,0.220066585570159,Cortisone,"0.1 (0, 0.2)",0.026,0.026*,,HMDB0002802
Time_(joint),,,,9.40246460195652,0.000613629237522128,Main,,,Cortisone,"NA (NA, NA)",,,6.1e-04***,HMDB0002802
Time_120,0.0262677796932215,0.0339360177881036,0.444589460936975,,,Main,-0.0402468151714616,0.0927823745579047,Palmitoleoyl-EA,"0 (0, 0.1)",0.445,0.445,,HMDB0013648
Time_235,0.0520003770210804,0.0339360177881036,0.135274671940049,,,Main,-0.0145142178436027,0.118514971885764,Palmitoleoyl-EA,"0.1 (0, 0.1)",0.135,0.135,,HMDB0013648
Time_(joint),,,,1.17402289210651,0.322082495087292,Main,,,Palmitoleoyl-EA,"NA (NA, NA)",,,0.322,HMDB0013648
Time_120,-0.0911401279132831,0.0206454969898518,0.000107903687011262,,,Main,-0.131605302013393,-0.0506749538131735,LPC 0:0/18:0,"-0.1 (-0.1, -0.1)",1.1e-04,1.1e-04***,,HMDB0011128
Time_235,-0.168845844365857,0.0206454969898518,2.42800683760573e-09,,,Main,-0.209311018465967,-0.128380670265748,LPC 0:0/18:0,"-0.2 (-0.2, -0.1)",2.4e-09,2.4e-09***,,HMDB0011128
Time_(joint),,,,33.5131754510959,1.41379755366993e-08,Main,,,LPC 0:0/18:0,"NA (NA, NA)",,,1.4e-08***,HMDB0011128
Time_120,0.0980563396030765,0.0910423079078472,0.28951467335647,,,Main,-0.0803865838963041,0.276499263102457,LPE 0:0/18:0,"0.1 (-0.1, 0.3)",0.29,0.29,,HMDB0011129
Time_235,0.090523349661006,0.0910423079078473,0.327536466103573,,,Main,-0.0879195738383746,0.268966273160387,LPE 0:0/18:0,"0.1 (-0.1, 0.3)",0.328,0.328,,HMDB0011129
Time_(joint),,,,0.718498862502084,0.49518016794567,Main,,,LPE 0:0/18:0,"NA (NA, NA)",,,0.495,HMDB0011129
Time_120,-0.183476173299239,0.0264401904350885,7.38084485786713e-08,,,Main,-0.235298946552012,-0.131653400046465,LPC P-18:1/0:0,"-0.2 (-0.2, -0.1)",7.4e-08,7.4e-08***,,HMDB0010408
Time_235,-0.290518994954245,0.0264401904350885,2.15402750142994e-12,,,Main,-0.342341768207019,-0.238696221701472,LPC P-18:1/0:0,"-0.3 (-0.3, -0.2)",2.2e-12,2.2e-12***,,HMDB0010408
Time_(joint),,,,61.7584436020669,1.03266336901609e-11,Main,,,LPC P-18:1/0:0,"NA (NA, NA)",,,1e-11***,HMDB0010408
Time_120,0.150630820940128,0.076028322180147,0.0562113543164786,,,Main,0.00161530946703958,0.299646332413216,Succinic acid,"0.2 (0, 0.3)",0.056,0.056,,HMDB0000254
Time_235,0.132130646854507,0.076028322180147,0.0918422461841048,,,Main,-0.0168848646185812,0.281146158327595,Succinic acid,"0.1 (0, 0.3)",0.092,0.092,,HMDB0000254
Time_(joint),,,,2.334963470959,0.113093836684069,Main,,,Succinic acid,"NA (NA, NA)",,,0.113,HMDB0000254
Time_120,-0.135863581829887,0.0176109976068558,8.53441742620354e-09,,,Main,-0.170381137139324,-0.10134602652045,LPC 18:0/0:0,"-0.1 (-0.2, -0.1)",8.5e-09,8.5e-09***,,HMDB0010384
Time_235,-0.20297300963026,0.0176109976068558,6.30190967976662e-13,,,Main,-0.237490564939698,-0.168455454320823,LPC 18:0/0:0,"-0.2 (-0.2, -0.2)",6.3e-13,6.3e-13***,,HMDB0010384
Time_(joint),,,,68.9571738964865,2.50448713593471e-12,Main,,,LPC 18:0/0:0,"NA (NA, NA)",,,2.5e-12***,HMDB0010384
Time_120,0.0586286704222328,0.0279251879165926,0.0437484866280355,,,Main,0.00389530210571123,0.113362038738754,LPE 18:0/0:0,"0.1 (0, 0.1)",0.044,0.044*,,HMDB0011130
Time_235,0.0692761069880197,0.0279251879165926,0.0185561232504649,,,Main,0.0145427386714981,0.124009475304541,LPE 18:0/0:0,"0.1 (0, 0.1)",0.019,0.019*,,HMDB0011130
Time_(joint),,,,3.56916102154162,0.039880850718337,Main,,,LPE 18:0/0:0,"NA (NA, NA)",,,0.04*,HMDB0011130
Time_120,-0.0141508273810637,0.0319291570948911,0.66060696798358,,,Main,-0.0767319752870503,0.048430320524923,MG 18:1,"0 (-0.1, 0)",0.661,0.661,,HMDB0011567
Time_235,-0.0646928310133703,0.0319291570948911,0.0511549719382349,,,Main,-0.127273978919357,-0.0021116831073837,MG 18:1,"-0.1 (-0.1, 0)",0.051,0.051,,HMDB0011567
Time_(joint),,,,2.26911863628365,0.119794860374537,Main,,,MG 18:1,"NA (NA, NA)",,,0.12,HMDB0011567
Time_120,-0.0106535504788128,0.0279279454176023,0.705379046381413,,,Main,-0.0653923234973134,0.0440852225396877,MG 17:0,"0 (-0.1, 0)",0.705,0.705,,HMDB0072856
Time_235,-0.0410377702408699,0.0279279454176023,0.15148366775578,,,Main,-0.0957765432593705,0.0137010027776307,MG 17:0,"0 (-0.1, 0)",0.151,0.151,,HMDB0072856
Time_(joint),,,,1.16277850981602,0.325475390784857,Main,,,MG 17:0,"NA (NA, NA)",,,0.325,HMDB0072856
Time_120,-0.229154464823186,0.023314955305556,3.45449227901281e-11,,,Main,-0.274851777222075,-0.183457152424296,LPC 20:1/0:0,"-0.2 (-0.3, -0.2)",3.5e-11,3.5e-11***,,HMDB0010391
Time_235,-0.248476681414973,0.023314955305556,4.66777881097732e-12,,,Main,-0.294173993813863,-0.202779369016084,LPC 20:1/0:0,"-0.2 (-0.3, -0.2)",4.7e-12,4.7e-12***,,HMDB0010391
Time_(joint),,,,70.2897287204775,1.95242366031851e-12,Main,,,LPC 20:1/0:0,"NA (NA, NA)",,,2e-12***,HMDB0010391
Time_120,-0.0215544508507217,0.0665953974248236,0.748299252317316,,,Main,-0.152081429803376,0.108972528101933,AMP,"0 (-0.2, 0.1)",0.748,0.748,,HMDB0000045
Time_235,-0.063517666116951,0.0665953974248236,0.347342433712872,,,Main,-0.194044645069605,0.0670093128357033,AMP,"-0.1 (-0.2, 0.1)",0.347,0.347,,HMDB0000045
